"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000262663.1","AC087222.1",1,1,0,1,1,7379,"Not_Significant",0
"ENSG00000211598.2","IGKV4-1",1,1,0,1,1,7380,"Not_Significant",0
"ENSG00000140557.12","ST8SIA2",1,1,0,1,1,7381,"Not_Significant",0
"ENSG00000231131.8","LNCAROD",1,1,0,1,1,7382,"Not_Significant",0
"ENSG00000268108.1","AC008687.2",1,1,0,1,1,7383,"Not_Significant",0
"ENSG00000175879.9","HOXD8",1,1,0,1,1,7384,"Not_Significant",0
"ENSG00000242294.6","STAG3L5P",1,1,0,1,1,7385,"Not_Significant",0
"ENSG00000211706.2","TRBV6-1",1,1,0,1,1,7386,"Not_Significant",0
"ENSG00000211787.1","TRAV8-3",1,1,0,1,1,7387,"Not_Significant",0
"ENSG00000225857.5","LINC02816",1,1,0,1,1,7388,"Not_Significant",0
"ENSG00000256209.2","AC073578.1",1,1,0,1,1,7389,"Not_Significant",0
"ENSG00000225075.1","AL603832.1",1,1,0,1,1,7390,"Not_Significant",0
"ENSG00000287839.1","AL353807.5",1,1,0,1,1,7391,"Not_Significant",0
"ENSG00000178033.6","CALHM5",1,1,0,1,1,7392,"Not_Significant",0
"ENSG00000274024.1","AL590282.1",1,1,0,1,1,7393,"Not_Significant",0
"ENSG00000280411.1","IGHV1-69D",1,1,0,1,1,7394,"Not_Significant",0
"ENSG00000250390.2","AP001790.1",1,1,0,1,1,7395,"Not_Significant",0
"ENSG00000107201.10","DDX58",1,1,0,1,1,7396,"Not_Significant",0
"ENSG00000162624.14","LHX8",1,1,0,1,1,7397,"Not_Significant",0
"ENSG00000231638.1","LUARIS",1,1,0,1,1,7398,"Not_Significant",0
"ENSG00000279670.1","AL359922.3",1,1,0,1,1,7399,"Not_Significant",0
"ENSG00000224041.3","IGKV3D-15",1,1,0,1,1,7400,"Not_Significant",0
"ENSG00000279608.1","AL353795.3",1,1,0,1,1,7401,"Not_Significant",0
"ENSG00000287126.1","AC108488.3",2,1,1,1,1,7402,"Not_Significant",0
"ENSG00000109943.9","CRTAM",1,1,0,1,1,7403,"Not_Significant",0
"ENSG00000266718.2","AC079336.5",1,1,0,1,1,7404,"Not_Significant",0
"ENSG00000262668.2","AJ003147.2",1,1,0,1,1,7405,"Not_Significant",0
"ENSG00000205837.7","LINC00487",1,1,0,1,1,7406,"Not_Significant",0
"ENSG00000105255.11","FSD1",1,1,0,1,1,7407,"Not_Significant",0
"ENSG00000198400.12","NTRK1",1,1,0,1,1,7408,"Not_Significant",0
"ENSG00000270165.1","AC010530.1",1,1,0,1,1,7409,"Not_Significant",0
"ENSG00000211716.2","TRBV9",1,1,0,1,1,7410,"Not_Significant",0
"ENSG00000229425.3","AJ009632.2",1,1,0,1,1,7411,"Not_Significant",0
"ENSG00000082684.16","SEMA5B",1,1,0,1,1,7412,"Not_Significant",0
"ENSG00000246130.1","AC107959.2",1,1,0,1,1,7413,"Not_Significant",0
"ENSG00000146216.13","TTBK1",1,1,0,1,1,7414,"Not_Significant",0
"ENSG00000180113.16","TDRD6",1,1,0,1,1,7415,"Not_Significant",0
"ENSG00000185155.12","MIXL1",1,1,0,1,1,7416,"Not_Significant",0
"ENSG00000217555.13","CKLF",1,1,0,1,1,7417,"Not_Significant",0
"ENSG00000268499.1","AC011479.2",1,1,0,1,1,7418,"Not_Significant",0
"ENSG00000232712.6","KIZ-AS1",1,1,0,1,1,7419,"Not_Significant",0
"ENSG00000244720.1","NT5C3AP2",1,1,0,1,1,7420,"Not_Significant",0
"ENSG00000229393.1","AL139246.4",1,1,0,1,1,7421,"Not_Significant",0
"ENSG00000237989.1","LINC01679",1,1,0,1,1,7422,"Not_Significant",0
"ENSG00000180061.10","TMEM150B",1,1,0,1,1,7423,"Not_Significant",0
"ENSG00000118473.22","SGIP1",1,1,0,1,1,7424,"Not_Significant",0
"ENSG00000271503.6","CCL5",1,1,0,1,1,7425,"Not_Significant",0
"ENSG00000090530.10","P3H2",2,1,1,1,1,7426,"Not_Significant",0
"ENSG00000275793.1","RIMBP3",1,1,0,1,1,7427,"Not_Significant",0
"ENSG00000207741.1","MIR590",1,1,0,1,1,7428,"Not_Significant",0
"ENSG00000287670.1","AC108479.1",1,1,0,1,1,7429,"Not_Significant",0
"ENSG00000147059.8","SPIN2A",1,1,0,1,1,7430,"Not_Significant",0
"ENSG00000112195.9","TREML2",1,1,0,1,1,7431,"Not_Significant",0
"ENSG00000211660.3","IGLV2-23",1,1,0,1,1,7432,"Not_Significant",0
"ENSG00000286276.1","AL390066.2",1,1,0,1,1,7433,"Not_Significant",0
"ENSG00000271134.1","IFITM3P9",1,1,0,1,1,7434,"Not_Significant",0
"ENSG00000188403.7","IGHV1OR15-9",1,1,0,1,1,7435,"Not_Significant",0
"ENSG00000185070.11","FLRT2",2,1,1,1,1,7436,"Not_Significant",0
"ENSG00000260661.1","AC116903.2",1,1,0,1,1,7437,"Not_Significant",0
"ENSG00000142156.15","COL6A1",1,1,0,1,1,7438,"Not_Significant",0
"ENSG00000132854.19","KANK4",2,1,1,1,1,7439,"Not_Significant",0
"ENSG00000256553.1","TRAV1-2",1,1,0,1,1,7440,"Not_Significant",0
"ENSG00000205809.9","KLRC2",1,1,0,1,1,7441,"Not_Significant",0
"ENSG00000109072.14","VTN",1,1,0,1,1,7442,"Not_Significant",0
"ENSG00000243433.1","AC010973.1",1,1,0,1,1,7443,"Not_Significant",0
"ENSG00000272211.1","AC114760.2",1,1,0,1,1,7444,"Not_Significant",0
"ENSG00000270011.7","ZNF559-ZNF177",1,1,0,1,1,7445,"Not_Significant",0
"ENSG00000187912.12","CLEC17A",1,1,0,1,1,7446,"Not_Significant",0
"ENSG00000256083.1","AC090673.1",1,1,0,1,1,7447,"Not_Significant",0
"ENSG00000231453.1","LINC01305",1,1,0,1,1,7448,"Not_Significant",0
"ENSG00000183287.14","CCBE1",2,1,1,1,1,7449,"Not_Significant",0
"ENSG00000115318.12","LOXL3",1,1,0,1,1,7450,"Not_Significant",0
"ENSG00000101916.12","TLR8",1,1,0,1,1,7451,"Not_Significant",0
"ENSG00000164465.19","DCBLD1",1,1,0,1,1,7452,"Not_Significant",0
"ENSG00000211727.3","TRBV7-6",1,1,0,1,1,7453,"Not_Significant",0
"ENSG00000279369.1","AC046185.3",1,1,0,1,1,7454,"Not_Significant",0
"ENSG00000154898.15","CCDC144CP",1,1,0,1,1,7455,"Not_Significant",0
"ENSG00000279989.1","AC011815.3",1,1,0,1,1,7456,"Not_Significant",0
"ENSG00000287202.1","AC008119.1",1,1,0,1,1,7457,"Not_Significant",0
"ENSG00000177272.9","KCNA3",2,1,1,1,1,7458,"Not_Significant",0
"ENSG00000241351.3","IGKV3-11",1,1,0,1,1,7459,"Not_Significant",0
"ENSG00000255987.1","TOMM20P2",1,1,0,1,1,7460,"Not_Significant",0
"ENSG00000142552.8","RCN3",1,1,0,1,1,7461,"Not_Significant",0
"ENSG00000139329.5","LUM",1,1,0,1,1,7462,"Not_Significant",0
"ENSG00000066294.15","CD84",1,1,0,1,1,7463,"Not_Significant",0
"ENSG00000255262.3","ELOBP2",1,1,0,1,1,7464,"Not_Significant",0
"ENSG00000266235.1","MIR3176",1,1,0,1,1,7465,"Not_Significant",0
"ENSG00000150630.4","VEGFC",1,1,0,1,1,7466,"Not_Significant",0
"ENSG00000279400.1","AC008957.3",1,1,0,1,1,7467,"Not_Significant",0
"ENSG00000211799.3","TRAV19",1,1,0,1,1,7468,"Not_Significant",0
"ENSG00000228668.1","TRGV5P",1,1,0,1,1,7469,"Not_Significant",0
"ENSG00000245148.2","ARAP1-AS2",1,1,0,1,1,7470,"Not_Significant",0
"ENSG00000270130.1","AC068790.7",1,1,0,1,1,7471,"Not_Significant",0
"ENSG00000260139.6","CSPG4P13",1,1,0,1,1,7472,"Not_Significant",0
"ENSG00000128045.7","RASL11B",1,1,0,1,1,7473,"Not_Significant",0
"ENSG00000173200.13","PARP15",1,1,0,1,1,7474,"Not_Significant",0
"ENSG00000170858.10","LILRP2",1,1,0,1,1,7475,"Not_Significant",0
"ENSG00000267046.1","E2F3P1",1,1,0,1,1,7476,"Not_Significant",0
"ENSG00000280107.1","AL022393.1",1,1,0,1,1,7477,"Not_Significant",0
"ENSG00000213949.10","ITGA1",1,1,0,1,1,7478,"Not_Significant",0
"ENSG00000137265.15","IRF4",1,1,0,1,1,7479,"Not_Significant",0
"ENSG00000235531.11","MSC-AS1",1,1,0,1,1,7480,"Not_Significant",0
"ENSG00000211721.2","TRBV6-5",1,1,0,1,1,7481,"Not_Significant",0
"ENSG00000213809.9","KLRK1",1,1,0,1,1,7482,"Not_Significant",0
"ENSG00000171864.5","PRND",1,1,0,1,1,7483,"Not_Significant",0
"ENSG00000275791.1","TRBV10-3",1,1,0,1,1,7484,"Not_Significant",0
"ENSG00000082126.18","MPP4",1,1,0,1,1,7485,"Not_Significant",0
"ENSG00000211778.2","TRAV4",1,1,0,1,1,7486,"Not_Significant",0
"ENSG00000129007.14","CALML4",1,1,0,1,1,7487,"Not_Significant",0
"ENSG00000179935.10","LINC00652",1,1,0,1,1,7488,"Not_Significant",0
