"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000004399.13","10269","3787","4805","2111","6921","5372","2480","3456","6468","6700","720","1952","1117","1067","1757","2109","1281","1068","1379"
"ENSG00000004455.17","3591","7320","7034","5761","2985","2713","5052","5788","5332","5061","4194","2222","3508","3228","3560","3142","4969","5928","3335"
"ENSG00000004468.13","689","95","146","38","447","209","48","44","18","560","31","136","110","121","116","139","205","149","152"
"ENSG00000004478.8","2754","4369","4629","10538","5926","3766","8340","2570","5701","5434","1609","1230","2494","1975","1912","1533","2584","2352","1965"
"ENSG00000004487.17","2988","1967","1545","1791","2522","1926","1956","1499","3075","5175","738","649","726","966","966","917","968","1081","640"
"ENSG00000004534.15","3446","2319","1758","2864","3655","2750","2500","2211","5264","3211","1306","941","1372","1222","2087","1196","1183","1267","981"
"ENSG00000004660.15","410","229","129","95","332","162","145","200","138","546","30","71","25","32","80","73","41","19","48"
"ENSG00000004700.16","829","30","723","555","761","1148","1020","1175","1127","1357","137","156","236","111","186","165","218","352","209"
"ENSG00000004766.17","721","324","1131","1217","1558","1215","744","1112","1436","872","321","218","259","290","364","319","355","443","302"
"ENSG00000004776.13","607","202","174","83","343","163","102","67","125","31","111","152","70","53","117","265","53","85","41"
"ENSG00000004777.18","264","246","492","681","1006","564","1316","316","1074","444","73","103","71","110","188","171","78","55","51"
"ENSG00000004779.10","1890","3583","2045","2159","1770","1180","3067","1412","2652","2675","1813","1035","1380","1552","1143","1448","1800","2171","1706"
"ENSG00000004799.8","7624","601","1993","976","1483","3546","919","3887","23607","1260","8736","2372","8156","39862","6800","4999","14878","10806","30903"
"ENSG00000004809.14","6","0","5","0","4","6","10","1","0","1","5","1","0","0","1","0","1","0","1"
"ENSG00000004838.14","40","419","29","14","129","112","69","51","71","113","6","6","2","7","13","7","6","4","6"
"ENSG00000004846.16","7","0","19","1","16","8","38","1","1","4","1","0","0","0","0","2","0","0","0"
"ENSG00000004848.8","58","2","1","2","6","1","0","0","0","1","0","0","0","0","0","2","0","0","0"
"ENSG00000004864.14","1117","742","2626","2998","1899","1742","1194","1732","3274","990","6367","3155","4992","4240","4048","4394","8252","7153","5143"
"ENSG00000004866.22","811","697","888","712","1030","853","694","817","773","767","1095","859","1131","1313","886","1145","1401","1378","927"
"ENSG00000004897.12","2459","897","2449","2415","2394","1800","2021","2307","2666","3940","805","608","1326","714","962","883","1194","1342","915"
"ENSG00000004939.15","0","0","1","2","4","16","2","3","1","0","125","0","0","11","9","8","2","4","6"
"ENSG00000004948.16","4","0","4","1","4","0","2","7","7","5","3","0","1","1","1","3","0","1","1"
"ENSG00000004961.15","910","763","805","798","779","821","1102","1046","1527","1630","504","341","573","631","397","553","524","684","553"
"ENSG00000004975.12","1338","948","792","753","2735","1549","851","2681","1514","1920","278","329","265","316","452","379","339","436","196"
"ENSG00000005001.10","2631","1708","2381","1122","1037","1120","3165","112","236","457","10","26","47","39","159","40","34","21","24"
"ENSG00000005007.13","5488","4995","4265","7868","6821","8725","5953","5913","9701","5015","2549","1914","2545","2392","2929","2346","2898","3457","3030"
"ENSG00000005020.13","2292","807","2702","2207","4079","1531","3018","2377","310","1285","231","423","498","354","373","433","250","609","373"
"ENSG00000005022.6","8011","6200","9960","18528","6687","5184","23152","7643","16528","10200","6230","4549","5677","5045","4729","5541","7406","9850","5514"
