"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000278171.1","0","0","2","0","2","4","3","0","3","4","0","0","0","2","2","3","0","0","0","4","1"
"ENSG00000278172.1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","2","0"
"ENSG00000278175.4","104","25","43","104","65","47","58","29","33","3","50","60","66","63","74","64","41","177","38","38","77"
"ENSG00000278177.1","0","5","1","0","0","0","1","1","0","0","0","0","1","0","1","2","11","8","1","5","0"
"ENSG00000278180.1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278181.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0"
"ENSG00000278182.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0"
"ENSG00000278184.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0"
"ENSG00000278188.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"ENSG00000278189.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000278192.1","124","71","231","106","271","123","395","93","113","105","43","198","11","22","26","25","13","8","15","127","462"
"ENSG00000278193.1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","1","0","0","0"
"ENSG00000278195.2","4","0","0","4","33","2","4","0","46","0","12","0","15","7","21","6","7","2","6","18","0"
"ENSG00000278196.3","866","4","13","122","386","33","291","19","1225","11","48","66","2761","73","2926","688","779","6","497","351","84"
