"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000000003.15","907","1950","940","6571","2135","6229","2159","1078","2883","3680","4473","4336","1220","1238","1754","2635","1024","1172","1808","1523","1794"
"ENSG00000000005.6","0","2","0","3","1","13","2","2","3","0","3","3","0","1","2","6","3","12","2","3","1"
"ENSG00000000419.13","3006","4254","2114","1783","6094","12243","2742","1794","2215","2821","742","1812","900","1065","1392","1452","1106","2095","1079","2085","1668"
"ENSG00000000457.14","1189","880","1222","1142","1142","1851","1909","538","1292","1156","732","667","479","695","1025","828","621","1330","533","1141","1707"
"ENSG00000000460.17","736","663","921","299","868","1619","1647","323","869","1248","183","137","70","317","199","225","109","269","73","469","392"
"ENSG00000000938.13","187","263","257","279","904","265","323","548","631","115","245","128","149","133","522","318","365","1591","136","503","90"
"ENSG00000000971.16","1014","1029","1182","2263","5260","1696","4274","9650","3116","313","865","1261","1484","2291","7614","2658","3405","104722","1071","828","937"
"ENSG00000001036.14","5605","3301","7883","773","8052","4474","2151","1990","4135","10862","485","1008","1223","1786","2085","1499","1129","2446","1370","5354","3525"
"ENSG00000001084.13","14927","1868","4935","4314","2982","11008","9737","1432","4461","3895","2322","9714","1599","2524","3437","2239","1747","2961","2044","3228","6428"
"ENSG00000001167.14","5690","1845","2041","1520","3435","4711","4649","2071","2185","3712","1060","1051","501","1679","1123","1240","1026","2234","786","2240","4128"
"ENSG00000001460.18","606","2400","592","775","830","1326","1398","398","1682","442","396","971","179","325","339","373","284","594","377","429","690"
"ENSG00000001461.17","5399","4098","2632","4213","5751","4565","4681","1822","4464","1885","2967","1841","1872","3057","3895","3641","2571","3700","2682","3135","5570"
"ENSG00000001497.18","1580","2078","1705","1620","2668","4391","4818","1420","2484","5708","1064","1860","949","1100","1433","1447","1410","2991","872","2034","2652"
"ENSG00000001561.7","7215","330","12260","202","1297","3724","753","776","2726","482","246","338","1339","3885","2662","4734","4692","6879","3355","1241","1737"
"ENSG00000001617.12","1527","10233","7462","27596","7200","1439","12375","4887","7988","6432","20424","11346","948","3388","2857","1942","1615","4487","1922","3723","10486"
"ENSG00000001626.16","36939","38","7542","252","14928","18719","70","4","1883","4600","193","240","55","257","56","76","37","133","24","6939","10270"
"ENSG00000001629.10","6807","3390","5913","4299","8671","14446","14544","2867","4523","5806","2000","2347","1679","2889","3573","3293","3120","5567","2011","3018","3374"
"ENSG00000001630.17","632","41","502","331","516","998","648","86","376","856","173","306","57","105","85","102","96","134","55","107","796"
"ENSG00000001631.16","445","224","477","397","741","1503","1589","305","446","457","176","245","227","254","505","470","372","711","268","326","324"
"ENSG00000002016.18","738","207","784","557","826","1315","1746","275","600","1059","253","289","288","514","649","796","483","1012","252","1424","1073"
"ENSG00000002079.14","40","97","90","15","172","99","111","16","46","55","14","33","6","40","22","20","14","10","13","294","28"
"ENSG00000002330.14","343","745","521","639","597","675","563","617","1016","720","433","420","320","335","448","534","355","687","443","699","689"
"ENSG00000002549.12","3015","3974","5310","5522","8045","15685","2399","4441","7603","7090","2201","2709","1454","2558","2900","2281","2216","8010","1891","8735","4729"
"ENSG00000002586.20","3304","6263","10857","8150","5908","6256","8279","11497","5892","15457","7075","7228","2665","2753","4148","2577","7172","21552","2756","8209","4133"
"ENSG00000002586.20_PAR_Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000002587.10","1657","712","1095","1535","5345","1243","1661","203","5221","2080","1370","1842","250","689","533","364","157","310","341","2090","1090"
"ENSG00000002726.21","37976","162","5082","839","5907","35831","89","21","32694","11016","422","280","193","168","766","226","184","68","540","14480","8432"
"ENSG00000002745.13","137","27","7","20","15","58","40","16","123","38","8","3","11","11","3","8","44","36","4","28","2"
"ENSG00000002746.15","40","328","27","40","58","69","82","142","32","17","18","261","16","54","57","55","99","56","53","96","14"
"ENSG00000002822.15","25","316","23","22","168","91","56","18","63","45","14","67","7","11","10","14","10","17","8","88","51"
"ENSG00000002834.18","33961","8195","40225","7991","23682","29113","14230","13407","26814","16654","6334","5583","6631","17672","15394","12516","6424","9145","10150","18057","42269"
"ENSG00000002919.15","1416","2111","1126","2054","2157","2348","1333","1128","1810","1190","1191","991","581","839","895","804","917","1681","569","1102","874"
"ENSG00000002933.9","3110","548","7238","424","7301","23611","412","2335","2143","6060","334","605","812","694","2611","1004","1243","7013","531","3192","871"
"ENSG00000003056.8","3868","1629","5110","1913","5089","2374","3813","2219","2720","3273","1691","2136","938","1320","1753","1553","1365","3025","900","2440","5801"
"ENSG00000003096.14","595","59","79","328","127","1879","2433","443","384","77","245","177","59","142","326","270","887","2292","120","274","469"
"ENSG00000003137.8","473","2517","440","410","2013","384","286","1367","515","187","1079","235","40","23","149","91","87","421","71","52","72"
"ENSG00000003147.19","3681","324","5161","601","4337","3400","433","212","2678","3632","497","134","1664","1713","2416","1873","987","521","1414","2462","7390"
"ENSG00000003249.15","1693","1214","7911","6197","5286","4027","1023","244","2117","2116","3560","2548","432","674","784","541","394","845","467","590","2603"
"ENSG00000003393.15","3657","1126","3987","1095","5308","8059","4001","1825","1808","4416","716","1174","782","1620","1605","1682","1272","2944","868","3324","3032"
"ENSG00000003400.15","6303","1684","7838","3512","8307","12793","1683","1693","4676","4243","1857","419","711","1295","1868","994","655","1644","698","11566","6900"
"ENSG00000003402.20","8536","5107","8187","7990","16202","11509","9817","7163","9005","6219","4911","3480","3686","4843","8491","7093","6611","17918","3798","11673","8912"
"ENSG00000003436.16","3547","314","5813","599","2969","43355","1408","2447","2835","3760","345","501","564","1079","2475","999","2362","11218","603","4918","1761"
"ENSG00000003509.16","639","519","903","437","1165","1410","1108","340","679","983","255","385","282","515","587","520","479","1069","369","673","913"
"ENSG00000003756.17","4743","2043","2571","4833","5557","5887","5604","1968","4968","5303","2986","2538","1965","3716","5886","5763","4346","8470","2629","5403","6598"
"ENSG00000003987.14","77","52","62","71","151","144","570","105","120","90","27","73","62","85","135","140","170","443","42","217","104"
"ENSG00000003989.18","329","66","1711","747","837","4776","5937","1251","321","2574","1497","445","1971","2223","2608","2065","10456","26760","1159","232","36"
"ENSG00000004059.11","2561","3971","5336","6017","3142","6575","2050","2563","5489","6294","5529","3694","1102","1447","1718","1795","1280","2467","1348","2097","1933"
"ENSG00000004139.14","767","46","270","193","543","1206","696","376","418","120","136","196","443","322","678","552","604","1177","262","497","1347"
"ENSG00000004142.12","6973","3871","12429","6590","9645","22886","6864","4932","6989","7318","5279","4484","3069","3652","4619","4625","3200","4782","4181","3858","8923"
"ENSG00000004399.13","3849","915","14202","1833","7851","6145","6554","12637","6562","13072","1040","632","1286","2747","5405","3008","3542","23496","1227","2733","4447"
"ENSG00000004455.17","7023","9254","6683","5236","6731","10456","7581","3427","8824","6902","3256","3918","2047","3466","3882","3575","2688","5152","2793","6608","6655"
"ENSG00000004468.13","229","209","16","638","3051","141","951","2911","1344","81","437","448","212","40","539","170","265","812","139","549","74"
"ENSG00000004478.8","5220","6383","10596","5660","10725","7093","9312","3511","4853","17627","5809","6346","4035","3296","4303","6021","3011","2939","3731","7028","6052"
"ENSG00000004487.17","6562","12189","5810","3545","7286","11425","12886","3805","8990","7509","2883","5698","1386","2104","2461","2715","2097","5281","1651","4528","6804"
"ENSG00000004534.15","3520","1920","2918","2313","4451","5894","4287","1440","3874","4969","1732","2070","1903","2737","3484","3250","3124","6226","1482","4540","3990"
"ENSG00000004660.15","2100","312","1037","374","1276","1179","969","535","530","279","466","1247","118","273","318","200","418","868","106","388","526"
"ENSG00000004700.16","1795","1001","1471","1051","2051","1097","2686","3744","1052","842","508","615","235","665","682","600","695","2750","337","774","968"
"ENSG00000004766.17","2378","1016","1980","2039","2792","4976","4588","950","1772","1697","953","802","669","1125","1365","1193","1102","2353","776","1271","1241"
"ENSG00000004776.13","1769","39","81","363","81","44","101","4124","824","21","965","938","376","701","2165","734","17203","38817","219","37","126"
"ENSG00000004777.18","1085","568","922","419","432","875","2131","384","1914","431","211","201","138","744","474","669","478","834","153","322","103"
"ENSG00000004779.10","4423","6997","4389","2355","3318","4875","2427","3493","4108","4872","1944","2426","1684","2238","3086","2319","2054","2724","2267","3617","3371"
"ENSG00000004799.8","7718","156","1954","458","5115","7007","894","3552","2327","891","1111","3564","10111","19894","13205","18711","109449","126920","7860","1205","1711"
"ENSG00000004809.14","90","2","2","5","0","1","21","25","8","1","1","2","0","1","7","1","0","48","0","92","1"
"ENSG00000004838.14","18","7","31","40","15","29","38","8","150","47","16","3","6","17","26","19","3","19","11","139","14"
"ENSG00000004846.16","3","2","1","1","0","3","4","5","3","1","1","0","5","1","19","3","83","140","0","117","0"
"ENSG00000004848.8","89","23","1","0","289","26","1","0","125","18","1","8","63","42","127","115","42","0","63","219","156"
"ENSG00000004864.14","3617","1384","4248","1693","4686","7873","5174","1613","3002","5057","1129","1595","722","2758","1267","1481","783","1222","1082","1778","2096"
"ENSG00000004866.22","1239","1949","2351","780","2348","3134","1099","906","4395","2879","578","696","1509","1064","1794","1548","1376","1743","1268","1097","1752"
"ENSG00000004897.12","4802","7080","3375","3156","11036","6970","7574","3158","3934","3793","1726","2637","1222","2267","2571","1943","2502","7193","1288","2585","2482"
"ENSG00000004939.15","2","2","4","4","10","6","6","1","11","4","0","3","5","2","13","24","3","39","6","851","2"
"ENSG00000004948.16","63","11","2","2","51","10","14","7","4","1","0","2","0","3","10","6","2","14","2","10","0"
"ENSG00000004961.15","1753","2184","1790","1157","2115","2885","1431","971","1880","2964","1025","1231","552","986","1111","857","793","1742","731","1342","1964"
"ENSG00000004975.12","2296","1202","3028","2745","1918","3195","4814","2355","2692","3569","1956","2683","500","586","912","945","1299","3021","452","1380","1292"
"ENSG00000005001.10","3326","3408","4612","6210","17960","5092","3189","156","2184","2111","3092","1072","128","964","573","310","88","17","260","1383","1911"
"ENSG00000005007.13","16878","12895","13456","9636","17531","21677","16244","7347","13290","17816","7573","7587","3529","6367","6999","6985","7276","15367","4344","8248","22485"
"ENSG00000005020.13","3794","2761","3540","3922","5499","8507","1335","1654","4168","3413","1794","849","344","627","1216","557","2710","6307","400","3136","8319"
"ENSG00000005022.6","17785","23625","16098","12262","26007","22711","16354","8757","24831","31074","13252","14466","12192","22720","18892","25385","7941","7127","17535","16968","19342"
"ENSG00000005059.16","678","1224","1088","1059","1974","1275","1574","542","1280","1085","416","1141","76","304","310","255","227","1235","84","862","674"
"ENSG00000005073.6","527","232","77","2","693","762","30","23","513","526","0","132","3","0","2","3","1","5","0","187","564"
"ENSG00000005075.15","1503","2551","3499","1848","2670","2726","2722","1011","2047","5164","1214","1394","653","862","742","1060","698","1160","785","940","715"
"ENSG00000005100.13","1430","702","3086","971","2744","4223","3664","1142","2022","2680","795","1752","582","1014","1038","1136","968","2054","625","1254","1234"
"ENSG00000005102.14","67","6","47","202","205","137","136","323","343","64","93","91","17","68","181","85","235","956","24","114","78"
"ENSG00000005108.16","263","27","156","121","250","798","81","469","389","38","75","74","78","203","378","129","654","4479","48","149","106"
"ENSG00000005156.12","2118","907","3498","1492","4662","4776","4817","1109","2602","1835","1328","1191","830","1102","1724","1468","1584","2264","799","1241","4580"
"ENSG00000005175.10","1843","1924","2479","1245","3967","3162","2839","745","1711","3284","752","1114","491","981","917","880","842","2072","649","1654","1228"
"ENSG00000005187.12","803","24","1157","75","387","1416","290","34","349","1301","230","41","2342","532","1606","2326","1146","109","1521","1720","4181"
"ENSG00000005189.20","959","220","858","242","298","909","528","155","604","262","132","96","257","518","559","704","281","222","316","426","391"
"ENSG00000005194.15","2894","6487","4152","2385","6253","5224","2790","1956","2881","3280","2076","2725","867","1704","1341","1337","920","1822","957","2546","2266"
"ENSG00000005206.17","4473","1595","6192","1830","7401","6240","4177","1932","6118","4591","1517","1502","1330","2997","3798","3171","2001","2765","1926","3409","6312"
"ENSG00000005238.20","2357","2610","1455","2985","2160","5030","1911","1409","4309","1467","3351","1831","423","982","911","835","765","2507","690","944","1097"
"ENSG00000005243.10","84","1226","74","233","476","79","826","1581","184","50","171","1164","93","69","256","161","669","2319","122","81","28"
"ENSG00000005249.13","601","51","152","290","730","490","1420","2358","702","119","382","609","364","427","1267","793","7410","14450","418","269","187"
"ENSG00000005302.19","1697","1903","2127","2544","3394","2800","3293","1502","3759","3863","1659","1064","518","1252","1439","1089","895","2759","634","2423","2063"
"ENSG00000005339.15","11264","14707","13360","11104","13893","12701","28424","9677","12956","13781","9258","7563","4049","7088","8875","8212","12004","22642","4581","15184","33198"
"ENSG00000005379.17","184","58","483","295","433","639","2613","421","1108","498","250","289","803","760","1108","2089","2009","3290","749","515","83"
"ENSG00000005381.8","8","56","1","1","4","3","6","31","22","3","1","3","3","0","12","7","7","27","4","76","1"
"ENSG00000005421.9","95","4","6","2","4","1","18","8","3","138","0","4","7","3","3","6","3","3","1","19","8"
"ENSG00000005436.14","1043","766","1382","756","3015","1709","2753","620","1245","1427","412","966","623","809","1024","1072","1221","1786","570","771","1193"
"ENSG00000005448.17","627","1147","579","220","446","368","806","310","495","284","94","301","113","157","240","303","145","436","130","301","302"
"ENSG00000005469.12","2747","819","778","3419","1097","3128","4302","1364","997","698","2315","2481","299","595","629","657","557","2208","436","485","134"
"ENSG00000005471.19","103","15","31","23","39","108","109","32","82","28","48","31","10","13","29","68","86","138","6","80","27"
"ENSG00000005483.21","9339","3592","9235","5967","15051","20143","25234","3996","8081","7852","3743","3473","3295","4960","6884","5723","7879","14320","3426","7915","8965"
"ENSG00000005486.17","7299","8588","10562","4002","9573","10134","5284","4563","6899","5025","3335","5212","2994","3437","3568","4137","2381","3480","4136","3661","2834"
"ENSG00000005513.10","166","32","72","18","3995","24","643","60","174","1286","64","11","12","71","65","340","82","202","38","82","20"
"ENSG00000005700.15","13362","3801","7338","5124","21247","8917","5892","2341","10471","7892","2875","4931","2754","7173","5714","4685","3889","7119","3439","9424","15872"
"ENSG00000005801.18","2886","853","2882","1026","3909","6355","5394","507","2119","2395","508","701","841","1928","1807","1437","817","1656","809","2698","3027"
"ENSG00000005810.18","4695","6239","3143","14821","11306","7169","10495","3268","9013","3578","8872","6341","2491","3079","4906","3706","5186","11447","2383","4859","7600"
"ENSG00000005812.11","3466","3157","2029","4000","7079","4426","4578","2412","4416","3569","2301","2716","1527","1908","3071","2466","2592","7793","1707","3077","4595"
"ENSG00000005844.19","292","213","284","486","2656","459","358","152","2700","262","717","105","522","115","1343","351","245","236","375","2179","406"
"ENSG00000005882.12","2539","1755","3255","1205","1202","3191","1515","1096","2398","639","981","587","922","993","1336","1749","2078","3295","1075","2311","3130"
"ENSG00000005884.18","61068","68621","33242","8195","41680","46568","23092","24790","21948","16851","4181","27379","2270","8389","5275","4371","8422","17763","3539","18136","11803"
"ENSG00000005889.16","2872","1295","1582","2219","6725","4625","9024","1842","3985","4284","1385","2436","1065","1838","3336","2805","3137","6147","1050","3448","3875"
"ENSG00000005893.16","13549","20965","8027","18703","17557","22791","22155","11647","10740","13851","10754","8786","8682","8135","11573","14901","8226","14846","9432","10204","22161"
"ENSG00000005961.19","16","21","8","24","49","23","140","55","31","24","6","5","13","7","20","42","26","41","5","132","9"
"ENSG00000005981.13","252","4","8","2","16","0","105","2","6","49","5","4","20","7","7","19","5","7","0","12","6"
"ENSG00000006007.12","12042","7599","11289","3744","6880","7186","4867","3757","4466","14655","2715","4161","3231","3167","4010","4391","4305","6753","3461","4916","11984"
"ENSG00000006015.18","1118","2448","1387","627","1974","2311","940","896","1058","1329","595","589","548","526","798","683","630","1090","515","638","1496"
"ENSG00000006016.11","199","4583","14","209","32","30","536","995","307","16","110","1847","19","150","143","156","75","2290","13","25","30"
"ENSG00000006025.12","3374","458","3721","211","5097","3574","841","353","4524","1651","179","196","1375","4851","5564","2384","1378","846","2449","4399","1590"
"ENSG00000006042.12","3073","330","6199","688","3920","4316","2143","1112","4786","2705","381","296","2389","3254","3145","2469","2180","3317","1998","4112","10608"
"ENSG00000006047.13","576","289","40","203","655","3768","1671","716","455","384","113","27","26","83","116","333","174","75","86","138","32"
"ENSG00000006059.4","1","2","1","105","2","0","19","2","18","69","161","19","0","0","0","1","0","0","0","27","0"
"ENSG00000006062.17","1651","1587","940","1159","2331","2495","1510","1262","1713","3656","1738","483","402","612","1036","691","1679","5028","356","1645","674"
"ENSG00000006071.15","318","1","11","4","5","20","30","8","46","17","9","4","840","278","426","1435","605","136","266","425","65"
"ENSG00000006116.4","0","0","0","0","0","1","1","0","5","0","0","0","0","0","1","0","0","0","1","35","0"
"ENSG00000006118.15","2442","7377","5533","2306","8841","3367","21269","2596","3028","4458","1102","4059","3800","3111","3006","6277","2158","816","3256","427","2819"
"ENSG00000006125.18","26677","9241","50504","5209","54175","27851","26757","12592","25046","53469","3113","7061","5371","12451","11857","9760","16552","28301","6326","24023","53643"
"ENSG00000006128.12","1","0","0","0","1","2","0","29","5","1","1","2","2","13","5","0","206","66","3","6","0"
"ENSG00000006194.10","1261","1324","2533","929","2441","2153","2017","1190","1277","1866","767","1231","1030","1012","1640","1375","1303","2398","958","1789","2824"
"ENSG00000006210.7","852","92","3789","1293","932","531","4503","952","1350","1247","1571","607","495","789","1169","2111","957","3471","975","2652","456"
"ENSG00000006282.21","4756","1269","10138","1334","2426","8970","2725","1888","1615","6215","728","1436","3036","2668","3560","5238","2839","5404","4245","2852","3563"
"ENSG00000006283.18","127","10","16","49","26","34","91","16","38","19","60","3","13","31","53","13","27","245","14","45","49"
"ENSG00000006327.14","3793","13536","7302","254","7811","6174","1286","3573","1777","5014","629","1834","278","2602","508","614","1708","1505","275","1881","836"
"ENSG00000006377.11","53","4","1","8","3","0","679","7","5","5","3","1","2","1","4","72","2","6","2","10","3"
"ENSG00000006432.15","2359","4134","2253","15232","4634","5263","7513","1025","2857","5429","9762","4021","677","1688","1194","1176","746","846","643","1845","2890"
"ENSG00000006451.8","3287","5022","5449","9152","12219","9127","2939","2253","7400","5684","5651","4806","971","2290","1989","1698","1215","2552","1650","3847","5858"
"ENSG00000006453.14","10452","3622","9135","5004","17360","16531","15875","9541","11891","11155","3822","2705","3576","7493","6983","5532","2372","639","5366","8068","4942"
"ENSG00000006459.11","3689","8081","3338","3705","7440","9308","5517","1350","4934","4806","2545","2114","1595","3067","3618","2874","2310","5643","1894","4162","3311"
"ENSG00000006468.14","369","147","647","298","311","333","1204","464","2420","874","160","33","175","251","276","368","639","1891","116","369","320"
"ENSG00000006530.18","1604","1081","2241","1364","3453","4915","2162","792","1821","780","792","1263","625","1295","1616","1340","939","1959","823","752","1212"
"ENSG00000006534.16","14885","192","10108","5488","4756","2639","282","656","4514","1755","2964","934","1041","1458","1792","1726","1349","1461","1439","2514","16072"
"ENSG00000006555.11","3726","2190","2792","30376","9783","6293","6091","937","13461","2881","25384","9922","657","1602","2171","1213","454","29","1239","4259","3080"
"ENSG00000006576.16","581","1181","1804","2055","1721","1753","4177","1935","1950","1727","1074","1231","275","652","779","724","876","3447","265","679","489"
"ENSG00000006606.9","3","64","3","16","5","14","43","57","13","4","4","21","2","11","2","1","4","25","0","35","3"
"ENSG00000006607.14","11118","3011","7921","4066","11036","13915","7636","1235","6962","13275","2626","3597","1304","2773","3222","2568","2191","3724","1538","8420","11872"
"ENSG00000006611.17","6588","35","3781","0","3935","12556","26","2","7066","3803","16","87","365","1907","1476","1204","459","35","1164","7686","9923"
"ENSG00000006625.18","966","2707","1714","1222","2096","1892","789","769","1542","2318","882","1263","258","532","297","371","308","704","306","910","1351"
"ENSG00000006634.8","1316","813","2544","519","2714","4989","4633","1010","1404","2751","361","587","268","623","496","527","296","501","274","679","784"
"ENSG00000006638.13","121","77","542","75","224","130","80","371","238","176","165","114","79","137","208","153","489","374","82","140","49"
"ENSG00000006652.15","804","462","458","841","2001","3928","461","332","1045","884","343","325","827","575","1023","1288","945","875","462","601","389"
"ENSG00000006659.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0"
"ENSG00000006695.12","2190","820","2550","1078","2578","1738","1661","785","1329","1366","860","1424","651","1130","1159","1085","697","1068","866","1153","1524"
"ENSG00000006704.11","3679","3980","3195","5869","9640","10611","6811","3405","2610","3824","4214","4047","587","1166","1344","1748","2041","7429","866","2806","2596"
"ENSG00000006712.15","5304","6051","3385","4206","2969","6318","3057","2502","3957","3939","2858","2151","1341","1735","1959","2048","2255","4030","1573","1894","2955"
"ENSG00000006715.16","4311","4485","5177","4262","6511","8052","3135","2579","3956","4327","2304","1973","1677","2462","3191","2869","3666","6751","1776","3478","13044"
"ENSG00000006740.17","2809","102","1108","122","793","2845","156","263","1528","925","84","106","854","897","1112","726","881","922","610","4448","1546"
"ENSG00000006744.19","7717","3708","8114","3843","6531","7686","5409","3632","4246","4480","3555","5024","1653","3217","3095","2789","2445","5973","2081","2950","3695"
"ENSG00000006747.15","2453","33","2441","2421","2419","3425","38","47","1901","1051","2579","223","405","1154","2353","430","304","44","845","916","422"
"ENSG00000006756.16","10254","3661","3795","1871","6193","3158","3932","1283","4628","3168","1597","751","5336","3257","9433","10328","3125","1749","4492","4672","15008"
"ENSG00000006757.12","362","595","787","836","1071","905","1442","689","709","669","678","1126","883","689","1611","2000","715","793","1016","579","1164"
"ENSG00000006788.14","3","2","1","113","2","28","5","6","40","1","55","0","63","31","85","86","41","7","97","131","1"
"ENSG00000006831.10","12188","4987","4275","6890","6480","8570","7465","3093","5653","7043","4791","3772","4281","6237","6756","7040","4998","7010","4909","4918","7919"
"ENSG00000006837.12","14","42","30","16","38","55","44","15","18","34","8","12","15","29","28","37","32","54","19","65","18"
"ENSG00000007001.13","6","3","7","1","3","7","22","1","4","23","1","1","1","1","2","6","2","8","3","20","8"
"ENSG00000007038.11","2826","169","425","74","735","2","2355","12","33","1529","15","6","11","12","110","61","4","22","27","128","2842"
"ENSG00000007047.15","2731","8963","3534","3450","5394","6797","5572","2496","2759","2781","2602","2710","1443","1695","1926","2643","2183","4559","1726","1662","3102"
"ENSG00000007062.12","9783","12","8863","31","4617","468","2440","127","4445","4504","285","331","897","1786","1938","1095","653","253","820","7337","46566"
"ENSG00000007080.11","1747","3935","3011","2528","3247","3181","2036","2367","3049","5487","1834","1658","696","1079","1036","1059","1197","2387","838","1396","2124"
"ENSG00000007129.18","9","20","17","14","51","28","10","35","87","8","35","6","33","3","23","23","29","28","6","41","15"
"ENSG00000007168.14","10041","4067","9041","11660","12051","7593","15521","7703","9764","7028","5963","7550","3357","6432","7521","5993","9538","17130","3910","6065","6496"
"ENSG00000007171.18","160","31","687","217","1091","13712","129","49","1039","199","14","31","9","4","28","61","35","76","6","6966","1170"
"ENSG00000007174.18","1","8","3","63","9","0","27","17","30","4","30","37","10","16","19","34","24","39","29","358","11"
"ENSG00000007202.15","18668","3543","21170","10886","17402","41564","18962","8526","13038","135084","8618","8949","4057","8161","8183","6904","7393","16196","3994","80840","22958"
"ENSG00000007216.15","240","7","108","3","1","3","52","1","265","5","1","3","5","9","25","22","4","0","8","954","327"
"ENSG00000007237.19","306","360","365","10606","1536","1028","1350","6601","3627","104","5048","1218","637","898","3935","890","3639","21702","381","597","419"
"ENSG00000007255.10","1323","165","1296","305","671","858","423","218","533","629","451","272","366","279","475","527","251","369","392","215","1854"
"ENSG00000007264.15","19","200","61","53","100","29","37","36","167","18","55","19","55","35","123","37","20","37","51","88","13"
"ENSG00000007306.15","14501","47","169","3863","4601","3117","220","12","1874","626","1674","543","5","1","81","74","8","106","3","3099","366"
"ENSG00000007312.13","24","17","14","27","143","19","38","43","726","15","307","26","32","5","51","23","26","104","25","42","15"
"ENSG00000007314.12","80","1","26","8","10","15","11","22","52","9","8","4","70","53","122","174","147","222","92","82","13"
"ENSG00000007341.19","798","397","787","525","412","910","1318","321","814","938","412","423","336","424","527","506","421","939","290","1044","459"
"ENSG00000007350.17","109","0","0","2","12","2","2","202","6","14","1","1","0","2","2","0","2","32","2","60","1"
"ENSG00000007372.24","25","94","5","22","233","48","29","107","479","372","2","50","17","11","27","55","3","29","6","288","349"
"ENSG00000007376.8","1468","1491","3311","1056","1936","2052","1557","993","1712","2209","712","1992","718","675","712","744","440","766","551","1065","1999"
"ENSG00000007384.15","1334","5195","4636","3126","7482","5856","3949","2198","3196","3104","2603","2771","307","1229","1009","864","1012","2555","380","1742","2497"
"ENSG00000007392.17","687","1926","1761","1284","2008","1697","3057","1135","1650","1853","788","966","737","1385","1831","2029","1436","2441","893","1777","1450"
"ENSG00000007402.12","343","72","73","40","37","279","152","136","2844","40","44","40","751","354","1147","966","589","922","533","255","110"
"ENSG00000007516.14","136","428","138","350","231","303","153","106","231","137","274","158","410","280","943","406","322","55","261","443","851"
"ENSG00000007520.4","589","2631","1792","1350","1255","1272","1365","1868","1631","1900","1322","1253","908","645","850","816","825","1389","663","951","1506"
"ENSG00000007541.17","1412","2170","3817","1343","2205","1789","1635","1494","2680","1890","892","854","660","1051","1255","1448","1147","2184","1008","1549","3385"
"ENSG00000007545.16","621","1602","1134","1094","1472","1597","2919","980","1430","910","765","831","408","903","1002","1056","946","2162","447","1365","2574"
"ENSG00000007866.22","4598","7168","2647","4427","3678","8615","6991","5326","3762","4032","4166","3982","712","1216","1737","1537","6072","17307","772","2831","3510"
"ENSG00000007908.16","630","5","353","132","677","504","2388","522","503","207","51","70","52","10","53","33","460","1409","9","100","52"
"ENSG00000007923.16","3233","2384","2525","1403","2377","6311","2658","953","3415","1924","1267","1936","825","1254","1390","1488","916","1648","940","2190","3187"
"ENSG00000007933.13","2665","13","259","111","358","306","127","103","281","47","59","72","83","64","166","65","130","264","70","131","117"
"ENSG00000007944.15","1066","1109","1424","1945","961","1717","2037","1009","1870","2115","758","2095","639","2067","1480","1193","2181","5712","984","2889","3277"
"ENSG00000007952.18","40","41","31","51","40","91","80","36","41","6949","19","28","10","18","27","27","22","19","15","85","50"
"ENSG00000007968.7","2698","1185","1440","1380","1721","1603","2404","535","3135","1759","1663","498","27","628","129","107","26","80","60","808","1419"
"ENSG00000008018.9","5859","15077","9756","5041","12501","12635","7914","7510","7937","13598","4428","5812","2435","2317","3517","3018","3052","6174","2596","8674","8205"
"ENSG00000008056.14","128","6","56","22","81","30","27","183","101","37","19","266","39","48","62","54","421","221","34","63","12"
"ENSG00000008083.14","1894","3533","2042","5908","3143","2272","9015","1515","3333","3709","3313","3631","689","943","1447","928","1189","2960","709","2164","3801"
"ENSG00000008086.13","1592","1067","1554","4517","1914","1602","2943","1037","1615","1870","2240","600","610","1466","1449","1469","1256","3507","712","1641","6023"
"ENSG00000008118.10","42","40","37","2","83","47","44","27","24","22","11","2","1","6","1","5","33","29","4","21","0"
"ENSG00000008128.23","95","72","65","23","86","303","221","37","147","49","25","24","22","43","103","119","63","91","49","91","61"
"ENSG00000008130.15","7736","5633","7496","2273","5813","13951","4363","2578","10024","5976","2328","4090","1988","3381","4237","2583","2858","5646","1986","6109","10768"
"ENSG00000008196.13","0","4","0","1144","1","1","64","0","4","1","378","9","1","0","0","17","1","0","3","6","0"
"ENSG00000008197.5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","35","0"
"ENSG00000008226.20","208","8","70","34","108","74","76","26","48","63","18","24","55","52","96","62","61","113","39","203","115"
