"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000166949.16","4006","3854","1459","1209","933","799","4412","1730","2388","2470","4950","6173","3882","3613","6759","1851","2078","3702","3313","2051"
"ENSG00000166959.8","55","1459","97","56","34","7","881","53","55","393","1222","25578","1120","741","1346","764","776","655","1146","651"
"ENSG00000166960.16","5","0","0","0","1","0","1","4","4","1","12","8","6","5","16","2","14","4","16","23"
"ENSG00000166961.15","1","0","0","0","5","1","31","6","15","20","1","107","3","7","6","4","2","2","4","4"
"ENSG00000166963.13","910","528","101","122","187","184","80","38","575","275","1348","1503","648","547","495","927","267","280","1961","4383"
"ENSG00000166965.12","1054","595","644","410","691","303","2163","1616","891","668","706","340","279","831","940","712","414","703","783","525"
"ENSG00000166971.17","749","533","434","409","370","286","984","563","859","522","1352","2178","896","848","1170","1269","791","784","870","856"
"ENSG00000166974.13","1990","3802","849","1572","682","682","3042","3653","1276","3115","3307","2614","2120","3168","3314","2732","1965","2351","3272","2842"
"ENSG00000166979.13","242","143","53","81","353","159","497","327","639","390","556","409","291","335","371","460","254","435","569","474"
"ENSG00000166984.12","10","8","3","0","7","2","5","0","6","2","12","53","6","19","11","18","35","16","3","1"
"ENSG00000166986.15","5706","5122","2663","2762","3404","2484","5282","5208","4371","4949","3041","2856","2288","4028","4039","3115","1994","3238","3205","3589"
"ENSG00000166987.15","3836","2179","1179","742","1170","1039","3861","3379","2332","2655","3769","2579","2687","2727","4186","1955","1702","3240","3962","2129"
"ENSG00000166997.8","327","216","79","85","143","163","212","85","409","149","436","369","304","433","579","467","344","412","512","551"
"ENSG00000167004.13","14189","40471","10085","15579","8548","7845","24322","32001","19536","30347","17281","20849","12802","21862","21076","13816","12167","14163","20055","25758"
"ENSG00000167005.14","4214","4383","2999","3507","2485","2226","4757","3930","5827","4650","4902","3660","2540","5100","6090","4222","2929","3346","4382","3824"
"ENSG00000167011.9","179","5","0","2","0","5","10","0","61","1","1","11","0","3","1","0","1","2","1","1"
"ENSG00000167014.11","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0"
"ENSG00000167034.10","103","179","16","60","16","23","53","30","14","137","36","131","16","56","44","53","25","15","39","90"
"ENSG00000167037.19","280","181","108","183","21","6","413","175","308","77","486","223","164","644","306","339","369","417","388","428"
"ENSG00000167046.4","16","17","9","5","17","91","117","28","15","42","27","13","10","18","33","16","8","25","39","7"
"ENSG00000167065.14","428","201","287","240","330","233","753","388","679","204","406","138","114","313","607","195","206","336","250","228"
"ENSG00000167074.15","836","873","392","629","286","343","1158","691","756","1262","2465","4090","3560","2707","3258","2127","1685","2740","1461","2256"
"ENSG00000167077.13","169","38","91","134","52","114","141","50","50","121","629","107","185","352","422","333","247","611","184","160"
"ENSG00000167080.9","49","80","241","766","58","0","1266","12267","876","1286","17064","3652","9717","1966","31789","1306","834","7280","14256","1303"
"ENSG00000167081.18","614","467","267","375","227","373","397","384","897","182","918","984","312","590","678","1071","442","544","882","2145"
"ENSG00000167083.7","54","34","14","19","17","50","17","8","23","88","90","40","40","128","90","70","50","56","58","98"
"ENSG00000167085.13","6849","4425","2544","6014","4945","2737","7266","4076","10115","3933","5186","3108","2592","4932","6732","5275","4125","4064","4739","3731"
"ENSG00000167088.11","2162","3470","930","1371","1614","873","3781","1918","2258","2816","1443","1349","1048","1862","1977","1856","1536","1187","1446","1576"
"ENSG00000167094.16","75","2","7","0","25","11","5","5","6","6","2","2","5","8","8","4","1","4","7","16"
"ENSG00000167098.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167100.15","122","96","14","34","53","25","46","18","157","24","53","63","25","73","48","61","43","65","75","78"
"ENSG00000167103.12","20","24","4","24","10","6","53","14","21","70","24","12","17","19","11","17","14","31","12","10"
"ENSG00000167104.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000167105.8","577","1953","225","808","55","72","1905","1510","291","1465","294","7309","96","216","222","256","365","155","427","538"
"ENSG00000167106.12","6143","6365","1860","2070","2324","2252","6401","3509","3815","6093","11167","27697","8183","6644","9894","6131","5435","8741","5890","4688"
"ENSG00000167107.13","988","1548","399","921","770","525","2226","1379","6121","1580","7066","6912","5303","3246","9325","4428","3163","4885","4191","1019"
"ENSG00000167110.18","3909","3841","1300","1473","883","1452","6269","4645","4322","4507","4574","3736","3084","4988","5603","2793","2295","4231","4835","4764"
"ENSG00000167112.10","1596","1685","1179","1109","1613","936","2545","1582","2123","1945","1873","1735","1107","1703","2322","2124","1581","1452","1759","1087"
"ENSG00000167113.11","2267","1288","1065","902","1565","1133","4757","2803","1982","2663","3481","5186","2293","2452","4336","3035","2182","2935","2875","2015"
"ENSG00000167114.13","1980","1398","793","1848","3067","963","3479","3120","2274","3298","4886","9938","5765","3368","6284","3114","2751","3482","4399","2018"
"ENSG00000167117.10","91","662","249","107","85","319","1484","188","615","576","2020","4011","2115","887","2663","1531","1433","1769","1202","651"
"ENSG00000167118.11","3081","2390","1369","1529","2338","1476","3626","2423","3808","2438","3685","3572","2095","3251","4669","3634","2905","2819","3092","2809"
"ENSG00000167123.19","748","1218","194","319","1234","425","201","106","1894","816","1172","764","791","888","1396","1078","707","939","2643","2204"
"ENSG00000167130.18","924","1475","452","520","755","443","1374","1135","917","1458","2916","4859","2459","1827","3551","1862","1885","2086","2302","1239"
"ENSG00000167131.17","0","0","1","0","0","0","1","0","1","2","1","0","0","0","0","0","0","0","0","1"
