"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000000003.15","7257","2763","6355","3264","3351","3603","6045","4477","11754","2237","7858","3507","3674","5435","6295","7316","4705","4481","7803","3478"
"ENSG00000000005.6","23","5","23","21","12","6","51","18","389","1","60","22","41","19","77","30","34","24","15","32"
"ENSG00000000419.13","2058","767","1470","1473","1210","977","1752","925","4817","1179","1446","1672","996","1359","1836","1687","1333","1156","1170","1098"
"ENSG00000000457.14","734","259","380","423","351","251","836","554","634","492","977","742","670","879","1178","755","659","1012","632","504"
"ENSG00000000460.17","415","311","292","234","450","208","383","188","392","252","202","94","105","252","383","185","162","166","256","180"
"ENSG00000000938.13","247","197","68","121","147","344","50","33","134","550","299","227","171","371","281","233","296","359","246","683"
"ENSG00000000971.16","1548","628","305","540","344","680","226","149","670","566","3601","2282","1405","2835","2410","2821","2155","2749","4499","2972"
"ENSG00000001036.14","2785","2559","1952","1956","1680","2007","3015","2752","2526","1918","2951","2813","2307","2446","3415","2096","2099","2343","2350","1731"
"ENSG00000001084.13","2595","1232","1458","2043","742","947","2158","659","2021","1825","2288","2534","1685","1857","2911","1565","1246","1866","1536","1507"
"ENSG00000001167.14","1549","1913","740","1215","625","545","2368","1439","2048","1186","1510","871","1042","1450","1885","1015","838","1309","1363","947"
"ENSG00000001460.18","482","706","92","365","171","176","613","510","558","508","1238","1265","1056","754","1537","777","633","927","932","514"
"ENSG00000001461.17","1716","1566","528","1467","732","914","2387","1983","2211","2419","3875","4865","2579","3060","4954","2358","2228","2819","3078","2707"
"ENSG00000001497.18","4175","2013","1362","1005","1381","1324","2967","1811","4250","1757","1652","1364","895","1918","2167","1319","891","1165","1482","1470"
"ENSG00000001561.7","1295","1797","1060","897","290","180","1770","1698","1360","1071","2014","1696","1659","1595","2115","1878","1636","1800","1891","1274"
"ENSG00000001617.12","1056","933","541","491","778","1516","3025","6417","2807","3615","1135","1351","325","1464","1027","1361","853","1247","1519","1289"
"ENSG00000001626.16","19156","2024","7690","827","3522","1606","9909","4025","4296","1828","11728","3333","6374","11990","13644","9856","6750","10305","12397","3290"
"ENSG00000001629.10","3774","1724","1382","1536","798","988","3460","2443","3583","2441","2741","2832","1850","2458","3129","2136","1642","2400","2650","2076"
"ENSG00000001630.17","293","417","106","251","172","66","174","157","272","192","212","239","117","177","317","143","74","155","525","218"
"ENSG00000001631.16","425","107","157","135","136","165","453","261","388","221","248","239","136","214","313","202","154","209","230","207"
"ENSG00000002016.18","610","230","279","164","192","138","822","473","411","401","868","326","369","483","887","409","348","1095","796","398"
"ENSG00000002079.14","16","4","2","3","5","1","41","15","8","15","1","3","4","5","6","0","3","4","5","6"
"ENSG00000002330.14","298","460","285","360","651","343","379","342","375","409","729","692","441","601","880","1043","726","684","668","403"
"ENSG00000002549.12","4253","4866","1934","4299","1673","5584","3585","2641","4222","5841","4504","5349","2849","4424","6319","4199","3126","3243","4869","8044"
"ENSG00000002586.20","11744","11278","3508","3740","4682","9243","5675","8595","11149","7785","9972","11449","3898","10261","13024","13960","6856","8343","12910","9656"
"ENSG00000002586.20_PAR_Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000002587.10","735","715","283","478","305","212","1010","1015","532","703","470","325","367","463","754","402","459","316","325","207"
"ENSG00000002726.21","12761","5190","3206","7295","4957","3791","24146","25478","7370","4570","52434","109176","28396","38091","65058","28464","24059","38123","40395","11245"
"ENSG00000002745.13","47","0","3","1","0","2","3","3","5","0","6","18","10","12","9","22","7","11","11","37"
"ENSG00000002746.15","89","22","4","12","19","17","4","4","136","18","32","26","19","13","21","13","11","20","22","18"
"ENSG00000002822.15","22","9","5","1","6","7","13","29","17","18","16","9","11","33","24","12","10","20","16","21"
"ENSG00000002834.18","18469","22035","5027","14034","5613","5724","17056","11184","19772","15408","29685","51054","20729","19418","34798","15138","13593","19352","22252","14334"
"ENSG00000002919.15","830","769","431","1801","700","408","1223","689","1474","1062","1597","1211","1043","1402","2138","2232","1544","1484","938","1177"
"ENSG00000002933.9","12033","6685","4107","1026","8821","9468","2260","9433","2395","1446","10291","28873","5542","7608","14180","11223","7682","9615","13505","6577"
"ENSG00000003056.8","4379","3173","1443","1990","1590","1556","3443","2794","3070","2810","3632","2420","1672","3638","3607","2911","1850","2792","2695","2462"
"ENSG00000003096.14","319","504","40","22","172","83","375","393","56","107","494","594","194","241","392","381","260","318","304","353"
"ENSG00000003137.8","55","571","8","386","61","50","73","66","122","105","666","430","231","227","664","111","60","287","369","307"
"ENSG00000003147.19","4737","1403","1443","1186","1648","1044","6331","5627","2752","3496","2419","1113","1271","1258","2433","1701","1384","1442","1627","1193"
"ENSG00000003249.15","500","1908","510","216","1810","306","1357","304","1905","1620","229","175","413","274","202","218","219","136","145","137"
"ENSG00000003393.15","1322","1092","461","780","289","531","1393","1027","1111","1209","896","1680","463","812","905","644","368","752","830","880"
"ENSG00000003400.15","1282","3664","672","1177","419","1995","1720","1297","646","1981","2512","2117","2951","2240","3830","2141","1957","2927","3223","2725"
"ENSG00000003402.20","3950","2528","1915","1186","937","1857","4535","3474","2913","3919","6521","6321","5085","5175","7120","3136","2723","5896","5490","5240"
"ENSG00000003436.16","1485","749","353","258","139","427","199","96","1224","147","1768","2390","550","820","993","761","589","747","1922","1884"
"ENSG00000003509.16","532","319","410","260","278","265","827","353","772","395","485","422","319","485","631","531","338","416","366","429"
"ENSG00000003756.17","3646","846","1534","1347","930","1451","5947","3711","2307","2252","3321","2362","2391","2917","3818","1982","1405","3981","2668","2634"
"ENSG00000003987.14","59","13","27","8","6","3","29","16","54","29","50","89","53","69","64","59","46","59","60","43"
"ENSG00000003989.18","552","174","468","22","15","55","139","105","447","27","613","366","221","663","344","354","195","426","891","552"
"ENSG00000004059.11","5377","3738","1795","2810","4198","2641","6350","3613","5325","3309","5135","5756","3078","4284","6429","6320","4716","4164","4123","3222"
"ENSG00000004139.14","464","200","125","142","191","82","521","253","418","218","377","397","202","309","450","209","158","330","303","261"
"ENSG00000004142.12","6001","4983","2669","2891","4191","2566","7110","4085","10361","4797","6260","6335","3658","5561","8019","6353","4418","4710","5777","4567"
"ENSG00000004399.13","2224","3553","578","1459","961","3737","3421","6135","3459","13426","4271","1913","1620","2940","3363","1457","1323","2858","5653","7157"
"ENSG00000004455.17","4913","6302","3241","3056","3408","3190","7389","4054","6657","5153","7779","10451","5925","6493","9405","6940","5091","6104","6840","4642"
"ENSG00000004468.13","276","29","188","95","110","300","15","37","90","513","471","347","314","1070","707","340","188","588","408","688"
"ENSG00000004478.8","8344","7035","3703","5312","4222","4336","8199","5473","9573","4162","6264","4790","3477","6179","6808","5396","4016","5114","5030","3899"
"ENSG00000004487.17","7481","6714","1535","3547","2538","3109","7728","4410","6582","4872","4184","3188","1769","3868","4807","3588","2361","3113","4015","2972"
"ENSG00000004534.15","5495","1546","2167","1109","818","1705","8564","3620","3660","1942","2961","3397","2055","3711","2954","1567","1067","2882","3252","2644"
"ENSG00000004660.15","731","508","279","82","323","187","2309","800","1243","1129","472","348","263","411","438","340","258","475","463","609"
"ENSG00000004700.16","712","578","310","571","257","413","538","477","1001","608","707","540","325","775","921","609","317","480","674","798"
"ENSG00000004766.17","1441","697","518","789","450","436","1280","919","1283","1211","1535","944","864","1296","1859","1203","898","1219","1244","1006"
"ENSG00000004776.13","211","8","13","15","57","44","1","26","346","3","830","2645","265","213","302","1595","176","222","796","2077"
"ENSG00000004777.18","338","263","165","157","126","146","765","727","401","373","218","102","128","289","371","159","90","464","341","272"
"ENSG00000004779.10","2006","2917","1750","2091","1944","1358","2849","2096","3115","2247","3167","4491","2414","2772","4154","4420","3287","2827","3069","2311"
"ENSG00000004799.8","647","130","311","717","138","300","428","755","1058","218","13067","14552","7853","3817","3741","5657","2450","7673","2192","7004"
"ENSG00000004809.14","3","1","1","6","0","1","2","2","2","3","7","4","6","5","18","0","3","8","4","3"
"ENSG00000004838.14","12","44","7","11","8","9","53","19","12","31","12","8","4","20","19","12","13","24","17","11"
"ENSG00000004846.16","5","2","0","0","0","1","0","6","13","0","60","5","62","21","65","11","7","8","253","280"
"ENSG00000004848.8","11","77","4","2","0","10","190","225","2","85","27","48","5","79","48","59","15","39","46","40"
"ENSG00000004864.14","1599","1359","1062","1058","764","754","1917","1129","3632","737","3402","2030","2199","2107","3553","1678","1239","2055","2347","1267"
"ENSG00000004866.22","1214","601","463","707","567","516","1262","958","996","936","576","880","319","618","683","666","443","561","640","841"
"ENSG00000004897.12","2293","2817","1266","3341","876","1011","2402","1688","3069","2333","2071","1947","1169","1981","2221","1730","1199","1580","2353","2224"
"ENSG00000004939.15","4","3","0","0","0","0","9","0","0","0","4","21","5","2","1","0","0","0","8","5"
"ENSG00000004948.16","8","0","1","0","0","0","1","23","2","4","4","10","3","3","12","8","3","9","1","11"
"ENSG00000004961.15","1346","1498","1240","856","612","725","1661","974","1687","1170","2387","2224","1865","1572","2849","2319","1848","1730","1735","1035"
"ENSG00000004975.12","1453","1834","727","618","641","375","1884","1395","2065","1981","1922","1357","781","1539","2107","1518","1061","1431","1859","1399"
"ENSG00000005001.10","748","928","206","640","317","1172","1900","285","1863","828","10","16","32","90","20","16","88","51","71","166"
"ENSG00000005007.13","8581","7778","2826","3925","5518","3334","9703","9723","9165","8145","9450","6800","6151","8178","11842","4555","3745","6803","7544","6638"
"ENSG00000005020.13","2921","1160","863","1692","884","479","3117","2172","2273","2033","4900","4490","2860","3592","6206","3680","3018","2883","4369","2553"
"ENSG00000005022.6","25989","23805","22597","11752","11825","12457","22937","11774","28035","18680","46628","70477","41327","27363","60103","35902","28258","31297","25986","17075"
"ENSG00000005059.16","283","1065","193","672","482","547","640","490","461","914","466","417","261","698","488","770","513","346","600","722"
"ENSG00000005073.6","499","392","241","185","619","254","940","557","636","1017","501","24","166","204","557","430","173","171","507","709"
"ENSG00000005075.15","1554","876","464","398","1064","709","2144","1501","2767","1300","1709","1598","1188","1642","2335","2132","1674","1431","1417","1169"
"ENSG00000005100.13","1503","1333","1088","511","602","511","2379","1705","2010","1666","1144","726","638","1051","1315","781","502","889","1161","960"
"ENSG00000005102.14","189","46","16","23","70","45","17","5","59","73","154","338","97","179","63","177","134","103","379","530"
"ENSG00000005108.16","130","19","18","14","16","42","11","48","67","33","174","90","132","134","162","110","45","92","598","476"
"ENSG00000005156.12","2318","1090","643","885","997","674","1836","1642","3015","1413","1226","1024","748","1287","1353","1057","571","1153","1346","1377"
"ENSG00000005175.10","1531","1290","876","699","470","693","1708","959","1613","1183","1012","992","535","1270","1259","1063","745","722","994","964"
"ENSG00000005187.12","378","181","424","428","226","165","725","1174","914","764","1823","334","391","1440","2251","1626","688","1175","1328","674"
"ENSG00000005189.20","190","201","97","253","88","86","420","425","135","396","198","161","65","149","257","195","152","128","186","154"
"ENSG00000005194.15","2077","1942","1081","1547","1739","2007","3073","2006","2500","1872","2066","2200","1419","2038","2423","2585","1500","1927","1925","1615"
"ENSG00000005206.17","5975","1656","1741","880","2589","1608","8069","4744","3944","3028","3973","4834","2866","3475","4652","2106","1564","4795","3991","1788"
"ENSG00000005238.20","541","914","338","393","258","351","1903","697","992","956","2013","2297","3078","1368","2083","1485","1254","1669","1938","1576"
"ENSG00000005243.10","199","103","41","85","97","142","73","85","271","135","344","399","168","226","246","580","231","205","302","962"
"ENSG00000005249.13","330","149","127","151","99","203","88","343","194","262","1492","1351","638","986","1262","1306","935","962","1238","1742"
"ENSG00000005302.19","1568","1053","1213","623","484","650","1689","805","1505","1116","1200","1005","732","1310","1513","1371","1016","1292","1159","1104"
"ENSG00000005339.15","5373","4828","1831","2212","1838","1939","5209","5304","4743","5699","7520","6417","4414","6768","8890","2791","2248","4839","6531","5689"
"ENSG00000005379.17","1129","499","359","159","243","70","1232","314","10564","965","436","413","227","700","527","423","266","580","474","524"
"ENSG00000005381.8","20","1","4","6","3","8","5","0","21","3","6","7","4","9","6","9","3","7","9","27"
"ENSG00000005421.9","73","39","12","1","0","20","26","20","6","0","16","55","2","11","6","13","8","13","11","2"
"ENSG00000005436.14","742","418","381","363","274","271","763","474","778","506","482","526","351","595","694","490","320","503","489","423"
"ENSG00000005448.17","350","950","80","363","242","267","669","364","563","326","283","270","117","282","328","281","188","258","266","313"
"ENSG00000005469.12","1016","442","373","164","187","294","1101","476","547","382","2395","3754","1839","799","2383","830","721","1480","1304","721"
"ENSG00000005471.19","177","18","28","73","20","92","125","47","217","24","94","91","86","177","119","59","76","92","47","34"
"ENSG00000005483.21","6648","3306","1800","1266","1233","1487","5036","4225","3591","3861","7518","4536","5660","5917","8646","3624","3206","5224","5876","3886"
"ENSG00000005486.17","4799","4385","1007","2073","2056","2106","3707","1995","3728","3188","3257","6278","2704","3352","4282","3083","2731","2908","2793","2314"
"ENSG00000005513.10","65","252","50","11","5","9","566","7","20","6","111","93","108","274","78","93","92","205","72","86"
"ENSG00000005700.15","2807","3198","1482","2283","642","1032","6225","3555","2677","4245","3686","3326","2475","3840","3817","2907","1881","3076","3364","3261"
"ENSG00000005801.18","2541","857","1265","460","447","600","2935","1222","1471","1060","954","919","781","1002","1268","898","780","1178","1017","580"
"ENSG00000005810.18","2469","1381","906","1182","913","2035","1932","846","2171","1861","2251","1716","1491","3557","2262","907","658","1514","2577","2972"
"ENSG00000005812.11","1300","1033","983","943","773","823","1548","1054","1223","1161","3349","3559","3406","2145","4684","2630","2295","2266","2087","1489"
"ENSG00000005844.19","605","247","242","130","153","617","102","152","183","985","916","561","783","2622","1287","802","674","982","587","1340"
"ENSG00000005882.12","730","1172","518","1355","703","351","1180","1356","1697","1598","4158","5640","1584","2079","3543","2584","2065","1951","2276","1675"
"ENSG00000005884.18","5978","6375","1524","3948","1664","2167","9836","5070","7267","6011","12779","17902","8577","8747","14733","6727","6031","8407","13449","6186"
"ENSG00000005889.16","2125","681","796","588","292","473","1899","758","800","967","2139","2044","1348","908","1588","982","1062","1119","1171","1555"
"ENSG00000005893.16","11669","4975","6320","4580","2163","3990","6938","5474","10061","4750","8735","12374","5574","6014","9422","5627","4530","5253","7568","5876"
"ENSG00000005961.19","18","11","8","3","8","4","15","9","7","9","7","17","5","4","5","8","7","12","16","9"
"ENSG00000005981.13","44","7","2","48","0","2","24","23","9","6","16","24","5","6","3","16","3","6","2","2"
"ENSG00000006007.12","3303","6093","1817","3029","2197","2585","5928","3438","4345","4634","9637","7161","6526","6328","9608","8744","5925","6481","6771","4853"
"ENSG00000006015.18","1724","847","788","973","2820","924","2165","1613","2266","1259","943","1299","604","705","1106","1143","918","1001","1108","848"
"ENSG00000006016.11","22","2","6","1","11","10","9","5","30","10","152","31","69","40","44","52","52","30","250","146"
"ENSG00000006025.12","2259","683","453","1053","388","468","4892","2018","1516","2849","2413","2657","1860","2159","2978","1732","1455","3382","2607","1248"
"ENSG00000006042.12","4548","3439","2242","3092","3214","761","4888","4595","8153","3738","8556","11888","3678","6919","8183","10888","8484","6874","5018","2407"
"ENSG00000006047.13","536","1288","679","92","234","472","1730","432","754","480","1771","966","1187","243","2591","504","521","1663","1049","403"
"ENSG00000006059.4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000006062.17","853","637","265","514","250","270","682","801","1159","1164","933","1627","848","1345","1199","888","562","1010","724","1093"
"ENSG00000006071.15","73","16","3","10","1","0","120","90","3","35","90","178","37","162","84","71","21","63","131","133"
"ENSG00000006116.4","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0"
"ENSG00000006118.15","2724","4578","619","1112","1363","722","1502","614","1684","548","298","196","169","641","361","287","232","258","660","451"
"ENSG00000006125.18","17409","20164","6067","8008","6505","5860","21804","9495","21567","16511","17199","8432","8126","15592","19937","10673","8396","9849","16493","12420"
"ENSG00000006128.12","165","1","21","6","62","4","4","2","567","2","71","180","70","37","67","222","41","46","74","142"
"ENSG00000006194.10","2172","1375","895","785","1007","923","1980","1203","2342","1545","1279","1086","755","1065","1708","1150","974","1107","1113","991"
"ENSG00000006210.7","903","1048","515","222","285","868","1097","824","1388","2178","1500","1075","656","688","749","549","460","677","1122","1589"
"ENSG00000006282.21","4532","513","1463","1150","1316","961","7415","4149","5136","4003","5347","2251","1992","3385","3156","3307","2982","3950","3097","3106"
"ENSG00000006283.18","159","22","2","2","10","4","10","3","23","1","16","7","5","11","13","10","5","11","27","20"
"ENSG00000006327.14","1816","3110","572","886","1015","564","3629","971","3537","784","277","2388","337","278","317","295","284","402","349","375"
"ENSG00000006377.11","22","0","36","1","55","1","1","0","138","178","2","2","3","1","3","4","2","0","1","8"
"ENSG00000006432.15","1274","583","278","361","220","323","804","657","574","919","890","672","522","836","985","352","382","772","681","453"
"ENSG00000006451.8","4770","5394","1955","2757","1892","1954","4264","2354","4910","3705","4331","4064","3418","3664","6362","3395","3151","3036","3859","2957"
"ENSG00000006453.14","7055","4396","1662","2151","1843","1554","9526","3242","3428","2987","4708","2993","3802","3496","5196","2306","2492","3646","3516","2325"
"ENSG00000006459.11","6127","3765","1648","1747","649","1077","4140","3137","4805","3021","3696","3030","3300","3377","4978","2082","1579","3796","3149","2088"
"ENSG00000006468.14","616","336","119","299","85","1105","204","263","271","777","370","516","238","474","364","381","173","237","501","460"
"ENSG00000006530.18","1845","504","834","540","614","328","1693","796","2032","1008","1007","634","579","942","1364","915","631","853","1058","749"
"ENSG00000006534.16","1496","1158","399","464","451","942","2558","1883","1819","2371","1581","5778","958","1699","1710","1350","1297","1269","1706","1977"
"ENSG00000006555.11","1035","2120","822","676","977","832","2264","2074","1035","2307","5794","5977","4502","3632","8924","2585","3158","4880","4172","1882"
"ENSG00000006576.16","726","492","371","534","350","411","669","612","689","573","750","421","873","780","1034","765","670","807","648","740"
"ENSG00000006606.9","25","2","5","12","11","20","82","141","16","143","9","11","4","22","9","20","18","14","9","21"
"ENSG00000006607.14","3443","3002","1646","2191","1382","1305","4904","4168","3657","4018","4633","3140","3806","3875","6256","2581","2112","3508","5078","2643"
"ENSG00000006611.17","10319","10173","3220","4396","2804","3228","18477","3018","5749","9453","11272","30386","8758","8882","15766","8222","7590","8796","8972","3765"
"ENSG00000006625.18","1282","864","791","610","1081","1027","1658","1040","1889","947","693","669","470","744","1109","620","521","539","767","630"
"ENSG00000006634.8","856","982","491","281","514","432","818","749","1086","889","530","313","307","568","677","500","429","531","575","461"
"ENSG00000006638.13","94","112","9","17","60","39","35","22","88","37","132","145","53","95","101","87","64","112","189","154"
"ENSG00000006652.15","691","225","433","125","136","227","913","328","608","248","414","572","456","239","404","244","237","400","274","156"
"ENSG00000006659.13","0","0","0","5","1","0","0","0","2","0","2","0","0","2","1","1","2","4","0","0"
"ENSG00000006695.12","1057","1578","814","388","444","270","1723","1209","1166","1128","1967","1814","902","1489","2281","1526","1063","1375","2044","1156"
"ENSG00000006704.11","8196","1760","1495","729","1862","1998","4673","1927","5411","2631","1123","1441","391","790","1258","846","465","646","1146","1103"
"ENSG00000006712.15","2596","2533","655","797","777","1002","3807","2652","2740","2456","2896","3255","1796","2932","3277","2359","1456","1957","2454","2921"
"ENSG00000006715.16","3512","2079","1146","1808","1202","1055","2638","2098","3658","2670","3010","2764","2094","2463","4161","2652","1851","2170","2658","2153"
"ENSG00000006740.17","282","845","356","294","337","51","1214","115","1428","499","5234","260","3760","3542","6558","3289","2432","3395","3595","954"
"ENSG00000006744.19","2953","3599","1320","1135","1437","1159","5250","3356","3285","3640","3877","2787","1795","3675","4613","2842","1967","2877","3809","3020"
"ENSG00000006747.15","558","804","449","373","41","112","775","1834","249","394","7322","17148","4858","3617","9722","2229","2211","3330","2597","1261"
"ENSG00000006756.16","10668","2428","1567","1467","699","2568","7340","7719","2534","2542","7864","4953","2946","3457","4832","3136","4218","2987","4640","3046"
"ENSG00000006757.12","1614","12","641","481","555","202","941","696","1224","611","1847","1795","845","770","1086","1178","1442","849","822","638"
"ENSG00000006788.14","14","0","1","4","1","1","0","0","1","1","49","2","2","4","11","1","3","5","1","4"
"ENSG00000006831.10","5502","6119","2305","3429","1699","1705","6456","5053","6282","4414","7102","9897","7637","6320","9888","5129","4525","5988","6604","5388"
"ENSG00000006837.12","18","4","14","5","2","12","37","14","30","7","9","9","5","17","6","5","1","10","11","14"
"ENSG00000007001.13","7","3","2","0","0","3","8","2","4","2","2","4","0","1","3","0","1","2","4","12"
"ENSG00000007038.11","3","6","2","8","4","24","1","1","943","283","230","15","10","165","147","29","204","58","31","14"
"ENSG00000007047.15","1496","1396","382","423","547","418","1609","1064","1533","1591","1316","1185","584","892","1045","1075","539","749","1137","1251"
"ENSG00000007062.12","7609","8658","8138","314","495","3611","2969","10762","1937","6719","8358","8609","5191","3924","7862","1424","1738","6589","5248","1180"
"ENSG00000007080.11","2503","2887","670","1000","3316","1313","3562","1985","3910","2214","2130","2046","1293","2065","2533","2425","1358","1572","2019","2358"
"ENSG00000007129.18","41","15","24","20","16","41","16","12","14","33","125","43","32","148","98","106","75","108","52","107"
"ENSG00000007168.14","3793","4539","2615","2131","1279","1517","5374","3561","3644","4131","8038","9253","6999","6168","10191","4621","3622","5930","6114","5345"
"ENSG00000007171.18","148","5612","98","2568","3100","10716","992","245","2031","4708","2030","413","362","1958","1386","2134","1002","1232","3269","6063"
"ENSG00000007174.18","8","9","6","6","6","5","25","3","6","33","24","7","21","41","18","31","21","36","24","23"
"ENSG00000007202.15","6765","5531","2221","3868","2650","3029","7139","4032","7699","4169","7831","7935","4484","7357","8548","4354","3627","6078","7455","5736"
"ENSG00000007216.15","392","8","179","71","91","0","141","30","1122","30","2739","14751","588","3712","1264","2575","3500","2233","2623","171"
"ENSG00000007237.19","1258","435","239","210","333","584","112","68","1039","681","3057","2892","1314","1884","2799","1475","900","2116","3317","4802"
"ENSG00000007255.10","1308","448","253","690","711","698","2240","1985","3224","1347","1669","1029","723","1291","1835","2084","1375","1104","1078","560"
"ENSG00000007264.15","102","62","29","15","37","72","39","38","69","124","325","273","165","268","415","217","175","192","478","120"
"ENSG00000007306.15","293","4906","634","5712","2581","18","2338","354","7740","2032","177502","404","272926","90729","277740","60746","51677","117512","87895","21395"
"ENSG00000007312.13","112","4","51","40","46","52","14","27","10","42","211","75","140","1763","251","277","196","140","130","116"
"ENSG00000007314.12","2","1","4","2","2","0","5","3","11","4","37","29","22","37","14","46","16","25","26","266"
"ENSG00000007341.19","349","329","234","244","156","168","666","564","389","316","422","391","325","480","483","444","355","411","455","363"
"ENSG00000007350.17","1","0","0","6","2","1","0","0","0","4","9","6","2","8","11","5","5","5","8","10"
"ENSG00000007372.24","25","2","12","29","0","29","16","45","1","8","36","37","7","54","28","30","7","32","23","6"
"ENSG00000007376.8","1253","1499","946","563","2208","936","1996","797","1984","1528","1148","1277","674","1023","1588","1136","954","1067","1124","873"
"ENSG00000007384.15","2227","1563","840","1016","1753","757","4798","2812","2732","2100","1245","969","1300","1392","2081","1241","1220","1738","1337","1099"
"ENSG00000007392.17","3287","721","1417","430","622","828","4216","1280","1534","1108","1014","975","1029","996","1174","655","620","1614","1064","966"
"ENSG00000007402.12","765","45","176","307","50","10","2232","12700","121","1162","341","199","154","884","744","227","242","560","421","399"
"ENSG00000007516.14","400","142","115","49","159","37","696","346","602","278","427","721","221","397","684","318","214","650","342","161"
"ENSG00000007520.4","1173","1058","701","882","1234","877","1696","1319","1594","1337","1608","1913","850","1215","1946","1572","1041","1169","1527","1296"
"ENSG00000007541.17","1535","1359","433","806","1103","705","2624","1118","1585","1306","1222","974","973","1188","1647","1115","876","1163","1422","1110"
"ENSG00000007545.16","1052","366","482","300","369","310","1297","757","759","992","737","585","368","576","792","390","321","685","596","646"
"ENSG00000007866.22","1994","1507","776","822","804","751","2800","1645","2155","2006","2583","3257","1567","2139","2480","2979","1537","2429","2644","4135"
"ENSG00000007908.16","76","52","6","32","105","144","9","13","58","101","13","787","12","36","22","14","10","8","140","246"
"ENSG00000007923.16","1822","2055","459","1031","330","741","2592","1343","1931","2002","3408","2011","1838","2881","3653","2084","1362","2649","2846","1940"
"ENSG00000007933.13","118","39","53","40","67","19","35","14","117","9","43","39","16","19","48","25","8","14","44","40"
"ENSG00000007944.15","1910","896","935","547","550","914","1394","1180","1589","1864","2464","2122","1313","1697","4052","1722","1543","1646","1469","1378"
"ENSG00000007952.18","8938","3607","6088","5012","2412","575","7611","2865","6768","2359","7694","453","2783","5847","6287","4893","6147","4715","5785","4266"
"ENSG00000007968.7","418","1055","144","457","544","446","495","407","615","841","1628","733","665","1391","1577","995","682","891","1526","838"
"ENSG00000008018.9","7271","7353","3523","6291","3679","3908","9313","5568","6959","6580","5987","8472","4584","5421","7740","8100","5811","5099","4503","5063"
"ENSG00000008056.14","120","10","77","23","123","10","14","175","28","11","61","102","36","66","51","59","30","28","92","89"
"ENSG00000008083.14","1384","1057","720","540","365","684","1523","973","1824","1118","1405","1374","774","1291","1597","737","560","1110","1299","893"
"ENSG00000008086.13","467","382","322","310","146","146","618","477","443","394","474","201","280","348","589","190","160","330","531","465"
"ENSG00000008118.10","9","21","2","7","6","18","2","3","4","14","4","28","10","13","17","10","1","4","11","18"
"ENSG00000008128.23","203","25","97","53","14","43","190","79","41","44","94","181","39","61","67","38","28","104","40","51"
"ENSG00000008130.15","3964","3078","1431","2248","996","2150","5113","3757","4104","5042","5775","4812","4548","4897","7772","4336","3722","5378","4960","3349"
"ENSG00000008196.13","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","6"
"ENSG00000008197.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000008226.20","175","4","34","7","17","20","452","284","41","134","135","101","188","96","124","74","56","162","76","38"
"ENSG00000008256.16","1717","1369","314","539","848","497","698","175","2494","1252","2039","2890","800","1513","1822","1471","1015","1405","1228","1609"
"ENSG00000008277.14","198","260","144","90","81","126","220","201","816","214","577","282","510","385","580","187","211","542","536","208"
"ENSG00000008282.9","7143","6175","3358","3613","3426","3428","8877","7496","8829","8788","6588","5915","3794","5584","7482","6044","4291","4171","6489","5709"
"ENSG00000008283.16","5270","6235","1899","4280","2574","2945","6369","5892","11447","7793","4645","7062","3034","4426","5812","3860","3451","3802","5838","4296"
"ENSG00000008294.21","3987","3318","1685","3709","1123","1801","2595","1534","7147","2373","6433","6806","6708","3716","7637","3157","2496","4397","4482","3857"
"ENSG00000008300.17","2767","254","66","630","493","270","1774","2122","836","355","165","151","120","258","252","151","115","338","250","206"
"ENSG00000008311.15","854","47","319","53","23","60","627","459","169","445","400","412","171","287","329","203","141","380","525","571"
"ENSG00000008323.15","3096","3232","1482","1037","1745","751","4131","2087","4714","1165","7093","12790","7198","4060","8830","4531","4583","5286","4840","1393"
"ENSG00000008324.12","578","467","458","362","367","337","1004","628","777","659","578","1182","362","580","695","652","567","454","527","402"
"ENSG00000008382.16","513","646","256","395","691","429","946","685","997","840","2092","1685","1015","1368","2422","1339","1094","1279","1249","687"
"ENSG00000008394.13","4535","3096","2943","2546","3192","1677","4841","2899","1767","3591","9885","4447","8067","4309","11226","5973","7364","4784","12051","4840"
"ENSG00000008405.12","873","500","336","508","448","396","1235","692","981","876","821","1366","582","944","1017","873","578","805","879","553"
