"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000093000.19","3513","6153","8667","2820","4105","7269","2157","3256","1875","2647","2925","3193","3782","2333","1099","1937","1605","2162","2748","3054","2576"
"ENSG00000093009.11","289","156","451","236","126","517","108","203","422","426","204","84","99","111","5","93","10","86","162","53","46"
"ENSG00000093010.15","9204","4930","5177","2580","2456","5236","2708","4016","5079","7798","3679","8132","4720","7833","3559","4006","1623","3367","5257","4715","3503"
"ENSG00000093072.18","2267","3253","1647","4237","4546","1930","3876","3676","6110","7213","3596","4683","3437","3717","962","2662","534","2164","3545","3239","2461"
"ENSG00000093100.13","2","9","2","4","5","7","3","6","9","3","52","19","36","6","4","9","5","9","16","9","13"
"ENSG00000093134.15","13","6","0","2","1","1","6","0","2","17","8","9","5","0","0","47","7","1","6","16","7"
"ENSG00000093144.19","1287","3373","2600","1777","1787","2516","1424","1792","1437","1824","2711","4372","4343","1963","4128","3267","7155","4447","2858","4721","3788"
"ENSG00000093167.18","6227","6536","5561","3458","3552","4267","2681","2412","3021","1767","3001","3694","3094","3869","1630","2344","1466","2112","3074","2342","2968"
"ENSG00000093183.14","5013","4612","3922","2381","2869","5547","3037","2937","2539","2088","3179","4238","4206","2988","2001","2858","1869","2629","3247","3385","3228"
"ENSG00000093217.11","387","841","1846","419","645","1327","428","703","337","251","554","499","579","324","102","218","98","308","392","434","287"
"ENSG00000094631.21","3181","3943","3939","2719","1920","3481","2383","4310","4805","2473","3158","3647","3464","3142","1873","1851","1957","2814","3690","3933","2681"
"ENSG00000094661.3","4","0","0","4","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"ENSG00000094755.17","76","905","191","70","170","3489","353","2456","352","8013","30869","42683","35744","6865","29","20652","67","12364","16586","12851","5407"
"ENSG00000094796.5","7","106","771","407","0","5","0","1","275","0","0","5","2","3","1","1","1","1","2","0","0"
"ENSG00000094804.12","824","570","1956","710","487","1615","225","749","733","2245","364","288","191","165","36","175","42","127","253","209","114"
"ENSG00000094841.14","1006","850","2093","1140","629","1264","813","683","685","424","665","1047","790","702","411","632","359","513","740","639","607"
"ENSG00000094880.11","1987","2580","2820","2171","1554","3143","2104","1701","2801","1289","2280","2584","2640","1740","932","1480","1108","1421","2097","1785","1785"
"ENSG00000094914.14","3564","1770","2492","3045","1430","3671","2437","1367","2219","1590","1814","2479","1986","2324","1230","1230","1149","1220","2153","1878","1314"
"ENSG00000094916.16","10041","13188","17264","9618","5491","15795","8770","13851","12779","2473","8453","8587","11582","5326","2123","5543","2073","5624","7576","7968","4911"
"ENSG00000094963.14","81","1132","315","370","199","721","498","1399","241","1051","6630","10158","12873","3501","6479","3201","5368","8149","5191","12958","16658"
"ENSG00000094975.14","7784","7449","9894","10349","6099","9876","5366","7372","5387","2330","4669","4136","4814","2345","1018","2548","1443","2395","4544","2837","2252"
"ENSG00000095002.15","2021","2175","2944","3640","2083","4156","2370","2470","3215","1122","2435","2540","2382","1363","637","1762","759","1189","2028","1493","1245"
"ENSG00000095015.6","3776","21896","11045","6761","11097","16559","3903","5605","4765","1717","8894","8552","9520","4584","681","2266","870","2632","6175","5084","2766"
"ENSG00000095059.16","239","88","110","97","117","148","49","144","139","101","64","91","88","53","39","22","40","39","119","86","29"
"ENSG00000095066.12","4012","2317","3286","2403","2329","2911","1780","1952","2470","1625","1594","2982","2057","2810","3954","1139","2629","4253","2846","4562","2655"
"ENSG00000095110.8","0","1","2","0","4","4","1","3","0","1","0","3","1","0","2","1","1","3","1","3","2"
"ENSG00000095139.14","12956","16572","18491","16748","9990","16457","16152","14635","10611","8377","11336","13057","11802","8330","6012","7805","5458","9589","10494","11295","11895"
"ENSG00000095203.14","2864","3420","3430","709","1503","1353","3570","2325","381","356","2599","3944","2801","1894","4083","1668","6793","2840","2071","4088","5078"
"ENSG00000095209.12","1163","1730","311","372","118","140","205","348","178","442","399","445","319","222","397","357","450","300","499","445","459"
"ENSG00000095261.14","4118","3632","870","4040","2014","5050","5049","3341","4264","2250","3079","3509","3267","3254","1183","1950","1494","1656","2269","2287","2501"
"ENSG00000095303.17","1614","3235","868","2536","5650","818","845","1400","3613","679","802","884","1110","442","315","1127","471","776","1144","1436","1278"
"ENSG00000095319.14","4821","5253","4037","4551","2928","6001","4021","8837","6001","3250","4536","4093","3619","3444","1400","2838","1387","2648","3964","4322","3279"
"ENSG00000095321.17","10113","5318","11598","5964","3042","8360","19599","3639","9499","5254","1359","2278","2145","2659","4338","1721","4840","3102","1798","3396","2759"
"ENSG00000095370.20","1451","1165","839","1166","877","1061","1320","1342","779","1977","1064","1271","919","577","3116","1315","1267","1484","1704","2076","1718"
"ENSG00000095380.11","3880","2770","3193","3857","2178","2077","3968","966","3950","1900","936","1719","1283","2172","810","804","619","843","1534","1168","997"
"ENSG00000095383.20","1466","1233","1260","1847","1391","1535","1941","1230","2301","3001","610","1162","1078","1385","351","920","251","732","1031","891","585"
"ENSG00000095397.16","2928","1224","406","923","324","1653","919","754","1587","909","954","1238","1207","816","114","486","129","635","1142","749","396"
