"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000000003.15","3100","3529","5729","1690","6970","10270","5587","4487","711","1233","4158","6679","5384","3745","2746","3021","1741","2761","4209","3541","3418"
"ENSG00000000005.6","7","15","36","18","7","13","74","14","15","8","75","569","712","254","1184","343","391","658","71","1073","1291"
"ENSG00000000419.13","1569","1994","2029","1586","1015","1994","1602","1928","1943","1375","1456","2240","1500","1582","1047","1807","1089","1178","1611","1353","1554"
"ENSG00000000457.14","2404","1469","1590","1706","1769","2707","1995","1525","1285","858","1446","1980","1636","1003","335","619","486","611","1217","947","909"
"ENSG00000000460.17","410","646","763","583","394","1067","912","396","549","307","299","458","338","177","81","193","75","165","346","259","272"
"ENSG00000000938.13","720","838","183","413","163","381","589","427","713","3481","657","442","391","184","692","960","412","651","787","936","864"
"ENSG00000000971.16","658","6700","1481","3091","1979","2217","2420","5527","1816","5330","4463","1982","4017","1946","4576","9870","4432","5745","5013","7470","15769"
"ENSG00000001036.14","2775","3570","2174","1912","1697","2164","2169","1511","2037","1457","1597","1577","1569","1957","1726","2066","999","1205","1691","2097","2422"
"ENSG00000001084.13","1942","5960","5415","1542","2917","1610","750","1761","1798","1317","2028","2296","2299","1643","1768","1464","2404","2415","2067","2511","3004"
"ENSG00000001167.14","1540","3982","4704","2337","2153","4626","1543","2687","2527","1379","1811","2405","2179","1665","729","1462","633","1170","2148","1840","1651"
"ENSG00000001460.18","1084","466","1295","806","874","1019","623","846","655","288","857","909","786","559","439","550","351","502","720","579","586"
"ENSG00000001461.17","2891","5219","15355","1769","8567","5118","3203","3774","4809","995","2598","4527","5327","2769","752","2719","705","2563","2817","2877","1420"
"ENSG00000001497.18","4172","3639","6044","2933","2034","4360","2593","2369","2437","1747","2225","3569","2725","3171","1786","1590","1311","1756","2846","2694","1788"
"ENSG00000001561.7","1355","1048","11013","3751","8098","2671","1338","1836","1715","522","1089","1684","1619","509","1398","1348","1078","1467","1298","1528","2967"
"ENSG00000001617.12","6870","7130","16093","12368","4343","10683","6059","4245","5322","3236","2075","3471","2272","3323","3042","2466","1116","2090","5924","3902","1914"
"ENSG00000001626.16","15","92","2","0","3","52","4","13","7","14","142","78","68","44","3","45","9","45","127","93","32"
"ENSG00000001629.10","2337","5536","4416","3640","3094","6442","2579","6209","4236","2545","3920","3315","4019","1959","1430","2615","1647","3190","3279","4068","3949"
"ENSG00000001630.17","22","324","302","182","210","85","86","167","149","195","89","94","114","95","42","35","68","54","124","86","68"
"ENSG00000001631.16","580","388","322","395","245","504","251","316","207","230","261","429","409","238","170","262","218","224","378","285","270"
"ENSG00000002016.18","854","437","762","530","631","775","318","586","183","329","542","832","547","443","208","424","301","307","630","535","425"
"ENSG00000002079.14","16","1","3","22","8","9","12","1","14","4","11","7","21","8","2","9","0","5","10","4","1"
"ENSG00000002330.14","460","520","933","384","342","555","670","437","527","525","241","365","311","594","768","283","298","277","432","425","359"
"ENSG00000002549.12","3130","10400","7409","7489","4405","7305","8645","6585","10198","9956","4869","6178","5378","4968","5009","5149","3609","4504","8982","7760","6378"
"ENSG00000002586.20","3829","5996","5708","7141","5047","9243","20005","12528","5685","16247","4960","5227","4491","6961","16513","11455","8302","7732","6405","12198","15625"
"ENSG00000002586.20_PAR_Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000002587.10","268","383","241","431","184","269","155","211","528","323","352","321","730","720","216","334","138","135","299","332","273"
"ENSG00000002726.21","3","14","11","36","9","33","83","24","2630","52","28","19","11","8","7","12","4","7","12","13","21"
"ENSG00000002745.13","9","9","3","6","3","6","12","8","4","12","13","0","2","0","0","5","3","3","2","0","3"
"ENSG00000002746.15","21","15","53","0","1","25","4","63","26","38","176","63","42","104","11","34","5","22","74","33","18"
"ENSG00000002822.15","18","28","7","18","2","35","21","17","18","64","4","8","15","9","6","44","9","8","17","6","6"
"ENSG00000002834.18","21107","8511","48536","22256","14924","26903","18630","27670","25291","13760","8501","11408","10281","14507","10503","7179","7429","10947","10973","15477","14850"
"ENSG00000002919.15","2053","2976","2693","1329","1099","2165","1322","1759","1518","1526","1235","1775","1400","1477","1656","1146","787","1197","1552","1676","1459"
"ENSG00000002933.9","154","1715","520","851","673","1137","1446","2315","7933","4344","1983","2202","1769","1105","1017","2490","530","1754","1919","2749","2377"
"ENSG00000003056.8","2040","4755","8639","3278","4549","5476","4739","5711","3249","3334","3074","4961","3876","3149","1696","2296","1611","2577","3342","4367","3336"
"ENSG00000003096.14","118","728","441","178","38","296","300","1119","607","158","5871","4177","3086","3903","206","2407","131","1459","4369","1298","1038"
"ENSG00000003137.8","55","349","156","210","34","293","367","172","74","830","184","405","777","284","2174","918","4220","1468","312","4611","3439"
"ENSG00000003147.19","5706","2535","2303","3150","2532","7129","3179","2397","5520","2492","1494","1813","1925","2055","857","1469","1043","1119","1864","1521","1178"
"ENSG00000003249.15","2172","1865","1029","2796","765","1903","1044","1391","3207","1312","1208","1076","1023","2399","141","478","36","463","623","478","315"
"ENSG00000003393.15","1306","2646","2343","1753","1346","2301","1347","2264","2678","1070","1675","2038","1914","1241","723","1440","840","1445","1909","1833","1742"
"ENSG00000003400.15","395","691","417","726","469","450","692","522","1427","886","709","641","766","248","962","897","419","693","997","1203","1893"
"ENSG00000003402.20","5161","5812","3739","4041","4063","5962","5508","4630","6619","5173","9523","6323","8725","3583","4778","5956","6703","10083","7567","11063","10228"
"ENSG00000003436.16","382","1236","678","757","686","784","903","1169","332","1466","2545","2382","2836","1391","2505","5069","2205","2844","3429","3581","4104"
"ENSG00000003509.16","884","733","844","515","591","822","435","656","615","500","614","719","659","678","268","494","475","459","618","512","588"
"ENSG00000003756.17","7205","4779","4656","4477","4641","7814","3623","2880","2657","3254","5128","5115","5567","3149","1942","2995","2238","2944","5444","3776","3475"
"ENSG00000003987.14","124","154","57","72","26","111","35","237","646","39","80","83","129","55","45","89","33","62","59","65","74"
"ENSG00000003989.18","21152","21185","261","9361","295","326","6940","12063","74932","1851","23698","2953","3180","22039","1596","2491","1280","4936","10063","4706","3641"
"ENSG00000004059.11","7896","4677","4024","4802","2451","7822","5567","4064","3132","5601","2916","4648","3321","6595","3195","3066","2113","2161","4015","3376","2525"
"ENSG00000004139.14","120","655","157","435","514","172","151","445","457","206","457","389","482","278","96","282","86","267","459","342","171"
"ENSG00000004142.12","8974","10189","12094","6325","3544","10398","4604","5160","6597","9774","4501","6769","5763","6308","4805","4105","4732","4448","4635","5772","4122"
"ENSG00000004399.13","6484","9944","7542","9715","4843","6717","11095","13844","17402","11611","7080","5368","6264","8902","10544","7302","8187","10984","9053","16173","13096"
"ENSG00000004455.17","8992","9983","10337","7425","5814","11770","8249","4704","6548","3787","6315","7957","6813","6629","4020","4967","6070","4874","6352","6529","4569"
"ENSG00000004468.13","46","259","77","160","42","179","148","312","358","717","236","182","472","35","148","139","65","178","305","429","273"
"ENSG00000004478.8","11512","19577","25036","15028","9544","13558","9026","16864","7043","3117","5440","11272","6193","11535","2277","2960","1891","3594","10342","5008","3548"
"ENSG00000004487.17","6875","7432","6941","6113","3511","9531","5954","6140","5069","2941","5414","6378","5589","5462","1925","3592","2170","2931","4957","4166","2992"
"ENSG00000004534.15","5175","4598","4950","4215","4336","7781","2929","4002","4196","3782","4351","4821","5200","3923","1869","3343","2784","3515","5394","5021","3337"
"ENSG00000004660.15","643","942","661","1162","597","1323","782","572","400","520","710","991","853","465","232","420","172","378","686","864","728"
"ENSG00000004700.16","383","1670","1991","1061","1087","1514","1231","2094","1481","969","1401","1119","1259","667","656","1175","778","1214","1284","1831","1872"
"ENSG00000004766.17","1294","1710","1609","1354","1325","3147","2562","2051","1366","1091","1918","2353","2012","1292","653","1180","645","1157","1810","1601","1612"
"ENSG00000004776.13","38","180","54","142","50","61","603","68","57","245","744","624","561","799","7523","1489","6673","3865","560","4153","2935"
"ENSG00000004777.18","1297","744","727","913","491","455","160","634","628","321","577","484","463","158","114","289","136","214","542","370","240"
"ENSG00000004779.10","3581","6403","3569","1902","1743","3114","2994","2521","4634","2253","1729","2216","1733","2993","2736","1650","1816","1413","1591","1910","1659"
"ENSG00000004799.8","931","3030","1701","3292","4545","2000","3590","1656","1369","659","21144","30665","11884","7526","26762","8074","101324","42679","33115","33001","30490"
"ENSG00000004809.14","19","7","4","3","0","1","7","8","1","26","63","4","8","20","2","5","5","3","14","29","18"
"ENSG00000004838.14","2477","693","456","1347","249","1571","1049","540","234","187","159","156","97","172","13","50","13","49","215","117","40"
"ENSG00000004846.16","5","17","11","11","60","22","32","23","25","67","61","74","208","70","56","603","49","160","160","319","131"
"ENSG00000004848.8","0","5","20","3","0","2","0","15","2","13","3","13","8","53","0","5","0","6","46","1","5"
"ENSG00000004864.14","864","1948","1341","1093","998","1585","1092","653","883","1451","1456","1664","1686","1046","533","903","536","902","1388","1161","1058"
"ENSG00000004866.22","3679","1389","1138","1260","643","1867","1757","1137","666","1033","1087","1328","1153","1127","1127","928","602","949","1143","1203","1376"
"ENSG00000004897.12","3862","4461","10877","4162","3252","4892","1999","4890","4650","1867","3576","3827","4073","1863","2149","2919","2140","2764","3509","3729","4792"
"ENSG00000004939.15","6","3","5","1","0","0","0","2","0","0","0","1","2","0","0","22","7","4","1","22","16"
"ENSG00000004948.16","1","55","23","100","9","15","5","231","28","15","25","43","83","38","7","28","1","33","77","38","104"
"ENSG00000004961.15","1003","1362","2041","1110","781","1369","1510","962","907","924","904","1227","1153","947","835","880","646","809","944","1081","987"
"ENSG00000004975.12","1810","1462","1791","1870","793","3020","1046","1796","1326","1271","1821","2809","2288","1833","1033","1385","931","1327","2574","1939","1319"
"ENSG00000005001.10","1348","957","445","617","651","848","432","1445","2252","2486","319","424","344","306","0","269","0","155","397","385","113"
"ENSG00000005007.13","6784","10419","11813","8797","6548","10586","7245","11610","7946","5909","6639","9728","7627","7854","4380","3159","4417","4829","9674","8263","5656"
"ENSG00000005020.13","797","2491","911","2216","989","1051","1658","3459","1635","1922","3248","4279","3967","2056","2278","3614","1915","2891","3169","4297","5252"
"ENSG00000005022.6","7610","13356","12323","9093","15057","10103","14319","9655","6783","11493","8167","10665","10503","15867","6276","6999","7800","5878","7410","7733","5676"
"ENSG00000005059.16","1878","1510","1465","849","1707","2736","1716","926","857","1564","597","667","577","478","830","1268","396","388","767","929","1132"
"ENSG00000005073.6","28","7","35","43","15","46","74","61","8","31","3","35","17","15","52","19","51","10","2","44","44"
"ENSG00000005075.15","4480","1609","1044","1631","685","2179","1438","1268","821","1889","907","1352","1073","1324","1513","962","969","683","1106","1120","900"
"ENSG00000005100.13","1432","2695","1354","1747","860","2860","812","1539","999","688","2401","2059","2060","1165","485","1242","511","1176","1953","1638","1164"
"ENSG00000005102.14","146","849","56","310","264","345","940","260","91","792","616","796","728","1355","3112","1946","1590","859","1164","2002","3543"
"ENSG00000005108.16","182","822","203","296","321","286","310","408","239","496","531","292","512","98","623","514","390","619","1102","934","835"
"ENSG00000005156.12","3609","6273","6848","2259","1896","4186","1405","3644","2351","777","1764","2714","2119","1923","351","716","489","1047","2134","1613","1091"
"ENSG00000005175.10","2214","2281","2832","2656","1386","2995","906","2526","2277","1066","1884","2229","2139","1231","491","1302","592","853","1802","1524","1439"
"ENSG00000005187.12","109","452","110","44","52","190","175","265","554","89","786","987","585","1352","10","303","55","464","716","287","140"
"ENSG00000005189.20","434","847","543","521","236","633","431","157","988","313","284","401","297","354","213","272","150","278","287","295","331"
"ENSG00000005194.15","1337","1966","2194","2279","891","2070","1851","2237","1970","1508","2226","2595","1839","2373","1353","1534","922","1348","1963","1989","1448"
"ENSG00000005206.17","2315","2622","1454","2190","1288","2510","1819","2427","1962","2017","1554","1466","1549","1677","1211","1088","833","1077","2225","2007","1011"
"ENSG00000005238.20","1303","905","1804","1389","580","1306","1240","1627","1326","2130","688","567","865","913","950","956","1070","938","816","1604","1417"
"ENSG00000005243.10","410","564","464","857","280","878","2327","1234","390","1554","667","803","780","738","4611","1446","1346","1840","703","2129","2815"
"ENSG00000005249.13","10017","1469","396","2208","913","2680","4891","3965","1769","738","3745","7783","4091","2841","24968","5261","24597","20612","1825","16700","33373"
"ENSG00000005302.19","1084","1905","1544","1226","1043","2201","1687","1717","1399","1847","1733","1709","1859","1468","1115","1531","672","1089","1703","1909","1396"
"ENSG00000005339.15","8664","16733","13966","8311","6360","11993","6054","16492","14146","4246","9273","9671","11538","5919","3072","4989","4286","6730","9526","9472","6346"
"ENSG00000005379.17","1038","2684","2824","936","759","2916","328","1511","1569","521","1877","2286","2642","648","176","1099","203","1008","2254","2118","636"
"ENSG00000005381.8","3","27","0","2","1","26","14","14","10","9","14","51","86","8","11","24","3","28","31","27","5"
"ENSG00000005421.9","1","1","6","5","8","10","0","13","1","2","26","6","36","27","1","9","1","20","31","10","6"
"ENSG00000005436.14","1254","1583","1094","1180","1041","1456","968","755","667","547","1217","1243","1654","594","426","902","707","1026","1024","866","1177"
"ENSG00000005448.17","1481","648","406","909","450","1090","865","906","1442","459","434","743","511","531","411","388","144","257","528","399","250"
"ENSG00000005469.12","2700","2295","2756","1269","3079","4140","2272","2379","969","1351","1464","2206","1898","1956","360","980","271","611","1532","1052","923"
"ENSG00000005471.19","74","140","93","245","108","119","87","117","108","107","50","43","53","70","74","58","38","49","58","62","126"
"ENSG00000005483.21","6116","8862","6909","6453","6238","10437","4375","8188","2969","3308","7007","8106","8193","2885","1916","4021","2755","4099","5809","5911","6101"
"ENSG00000005486.17","15287","5801","2593","7792","3157","8391","5930","4750","3829","7268","3507","5106","3926","5498","3909","3271","1411","2574","3905","4209","2401"
"ENSG00000005513.10","36","99","69","18","48","104","27","60","214","48","317","821","596","184","54","157","25","147","330","190","80"
"ENSG00000005700.15","2264","9519","6012","3224","5839","6274","2923","4731","4844","2075","4519","4574","5306","2623","1366","3088","1865","3006","3752","3770","3928"
"ENSG00000005801.18","1536","1845","3498","1467","1430","2318","944","1172","1673","971","1983","1726","1917","1203","376","1050","599","850","1585","1258","851"
"ENSG00000005810.18","2166","6634","2393","3060","6313","5224","3828","5068","4420","3082","7504","4772","7236","3096","3075","3773","7511","7242","5555","13293","10177"
"ENSG00000005812.11","2425","5956","3164","2945","4315","8850","3084","2764","2341","2218","3293","5586","5389","2527","2819","3488","2860","2928","3515","4258","4319"
"ENSG00000005844.19","2582","1604","272","2695","385","1179","1478","3954","5317","3626","828","893","1027","346","154","511","143","404","1094","915","482"
"ENSG00000005882.12","1678","1426","3603","1113","570","1732","971","1634","1564","1332","1356","2268","2003","2440","2596","1306","5084","1996","1291","2074","1701"
"ENSG00000005884.18","11834","10844","5989","5194","3937","8339","2993","8575","5659","21723","10553","11989","9142","13076","2310","5828","896","5054","9634","7228","4397"
"ENSG00000005889.16","2766","4817","12671","5501","3911","4765","2371","3124","4470","1655","3592","4261","4401","2683","1478","2743","1848","2555","3389","3508","3195"
"ENSG00000005893.16","14003","17203","25173","11843","10644","20846","15159","14611","10717","9303","13285","19143","20220","11220","4817","11871","4053","9884","12922","12450","11880"
"ENSG00000005961.19","39","24","31","33","9","46","43","31","45","24","30","20","44","34","49","23","30","27","22","45","10"
"ENSG00000005981.13","0","6","1","0","5","21","7","26","0","1","42","46","91","39","11","49","10","42","59","43","11"
"ENSG00000006007.12","5723","12478","4684","4341","4576","8668","8266","6906","12695","3941","3361","3974","3550","4692","3104","3287","2134","3211","3114","3997","4424"
"ENSG00000006015.18","459","1006","756","561","449","633","851","884","701","1901","545","565","539","1063","1398","493","643","473","925","1029","666"
"ENSG00000006016.11","48","94","118","262","8","71","267","316","146","83","564","44","129","656","71","136","64","170","355","404","260"
"ENSG00000006025.12","1009","754","775","906","518","770","442","832","1220","710","941","819","744","720","235","497","181","403","942","691","325"
"ENSG00000006042.12","1466","2296","19223","1765","2160","6072","2844","2760","610","1250","3983","5323","5697","4802","1048","3663","548","1783","3971","3045","1626"
"ENSG00000006047.13","632","263","566","1040","251","1254","98","317","1767","6","221","252","231","266","637","172","419","402","162","308","273"
"ENSG00000006059.4","1","85","9","22","0","14","0","9","27","42","18","13","11","2","0","8","0","7","2","0","2"
"ENSG00000006062.17","1184","1382","903","501","946","1165","599","1466","998","1156","1335","2055","1627","505","306","1332","272","879","1589","1285","1253"
"ENSG00000006071.15","5862","422","457","251","86","814","841","1254","171","45","1278","267","401","2671","7","60","13","121","670","154","36"
"ENSG00000006116.4","0","1","0","0","0","0","0","1","0","3","0","0","1","0","0","0","1","0","0","0","0"
"ENSG00000006118.15","780","1226","3588","2000","949","3283","2721","6625","7888","9843","2056","1919","1221","6214","329","652","144","835","1795","1182","439"
"ENSG00000006125.18","16982","40343","67684","21519","25169","51830","12800","42044","25547","7131","21712","18353","18257","21977","7400","10502","6829","10683","19039","16699","13759"
"ENSG00000006128.12","14","877","10","5","12","21","1","98","3","3","265","59","19","93","11","110","0","17","53","87","35"
"ENSG00000006194.10","3103","6281","3513","1997","2248","3704","2205","4040","4580","1476","1953","3000","2547","1776","1032","1472","846","1176","2251","1841","1414"
"ENSG00000006210.7","897","5346","1002","729","877","3239","1548","2755","562","5180","34564","62971","48092","16322","6693","22274","2466","25252","65615","18264","7877"
"ENSG00000006282.21","3970","4521","7170","5353","5349","5170","2466","3454","5678","2874","2429","3552","3373","1799","1105","2141","982","2287","2879","3522","2262"
"ENSG00000006283.18","32","214","7","33","52","39","103","255","30","102","484","76","134","94","44","59","19","54","174","216","71"
"ENSG00000006327.14","4968","6368","706","1561","743","2702","1844","4673","5592","6102","1674","2435","821","2348","218","1931","89","1618","2961","944","1856"
"ENSG00000006377.11","1","6","5","0","1","4","1","3","1","4","20","11","15","7","9","3","2","0","1","11","4"
"ENSG00000006432.15","1352","2962","977","432","1422","2599","1209","2126","1472","203","990","1159","1039","653","25","483","99","607","892","920","210"
"ENSG00000006451.8","3167","4502","3070","3711","2874","6296","4095","5462","5982","4314","3112","4318","3952","3322","2644","3416","2440","2635","3261","3408","4545"
"ENSG00000006453.14","1503","1127","2968","527","1937","4231","1510","804","207","2023","1099","1352","1339","977","298","802","156","557","1298","870","472"
"ENSG00000006459.11","841","2920","912","1021","2503","1247","3461","2324","1358","1367","2083","2181","2733","1258","986","1760","1506","2025","1971","2055","3591"
"ENSG00000006468.14","410","995","598","433","390","588","336","1895","456","406","3148","2312","2979","1325","219","1155","132","917","1823","551","734"
"ENSG00000006530.18","2553","1947","1578","1441","1123","2369","1752","1541","796","1041","1342","1895","1848","1351","658","967","590","989","1355","1162","950"
"ENSG00000006534.16","892","718","676","1864","596","471","496","606","1356","1667","368","563","459","435","422","642","287","542","608","993","1043"
"ENSG00000006555.11","3580","1523","1509","846","375","1202","611","526","134","596","546","1372","938","667","2","462","8","293","782","686","223"
"ENSG00000006576.16","2196","2598","1139","2259","2332","1879","1004","3277","2154","1795","1240","1032","1319","618","561","1155","514","838","1159","1182","1386"
"ENSG00000006606.9","10","63","16","6","1","12","12","7","8","40","6","6","7","0","28","24","12","17","17","32","14"
"ENSG00000006607.14","1591","4247","1811","2777","3037","3829","3029","3153","3635","1376","2308","2465","2047","1287","676","1106","676","1425","2015","1842","1703"
"ENSG00000006611.17","3","3","2","0","11","11","9","9","1","0","18","17","44","53","2","6","0","4","132","8","0"
"ENSG00000006625.18","4356","2238","893","933","1356","3046","1781","1493","1724","3804","1091","1057","1049","1296","428","517","2371","506","961","708","461"
"ENSG00000006634.8","555","784","526","905","542","1001","511","501","457","671","408","536","546","323","115","321","181","204","376","289","279"
"ENSG00000006638.13","92","169","191","133","137","161","164","159","155","206","82","77","79","83","187","126","144","115","121","107","78"
"ENSG00000006652.15","331","354","177","247","295","537","215","232","255","371","442","583","796","339","302","788","767","529","680","361","647"
"ENSG00000006659.13","1","6","4","0","2","11","0","2","1","1","4","2","1","0","0","3","0","0","0","0","2"
"ENSG00000006695.12","852","799","805","920","614","1534","691","826","674","510","953","1096","939","860","503","638","747","748","928","914","729"
"ENSG00000006704.11","2495","2544","2266","1862","1248","3559","1826","2476","1872","1708","1132","1602","1300","1613","452","604","624","798","1274","944","546"
"ENSG00000006712.15","7786","3943","7175","6168","2637","7771","4209","3934","3974","2898","2881","5492","3213","5174","3222","2341","2138","2955","4620","3603","3286"
"ENSG00000006715.16","1847","4118","2960","4019","2362","4060","2699","5562","7159","2282","3632","3651","3991","1753","1933","2868","1725","2922","3349","3653","3442"
"ENSG00000006740.17","427","508","220","323","554","660","962","887","442","284","628","521","531","609","169","410","153","368","502","675","341"
"ENSG00000006744.19","3820","4013","3318","4567","2035","5955","2482","2850","3334","2856","3402","4940","3793","5285","2900","2685","2417","3344","3938","3991","3420"
"ENSG00000006747.15","505","444","160","176","159","67","341","236","326","608","126","549","142","133","236","125","48","375","205","947","1254"
"ENSG00000006756.16","6728","8680","5478","5874","8590","10979","6164","3166","6872","4330","5999","7193","5871","5660","1009","2699","1965","2872","6061","4569","2858"
"ENSG00000006757.12","3276","2377","3278","1523","1952","1616","2496","1139","2663","846","1469","2221","1905","2697","1098","1131","1091","1096","1341","1470","1310"
"ENSG00000006788.14","20","19","17","8","5","38","59","52","24","42","46","11","23","18","5","13","0","10","14","16","6"
"ENSG00000006831.10","14491","16458","12085","4503","3565","8944","5137","13574","2892","2836","7248","7124","6335","4282","8280","3967","8909","8644","7939","9373","9651"
"ENSG00000006837.12","67","39","64","18","21","37","14","18","33","23","15","20","15","17","11","11","3","13","27","14","18"
"ENSG00000007001.13","8","11","4","8","0","37","10","9","18","3","30","25","27","31","8","3","10","7","11","7","6"
"ENSG00000007038.11","1","9","2","9","2","18","6","107","19","178","119","569","202","117","1","17","6","47","643","48","52"
"ENSG00000007047.15","3699","2825","2706","3051","1246","3071","2459","3563","3500","1459","1589","2262","1942","2351","1276","1296","1347","1607","2495","1891","1380"
"ENSG00000007062.12","44","2037","81","74","79","1525","246","2758","210","306","10364","11485","12560","1978","8","8843","12","3981","7246","9906","2151"
"ENSG00000007080.11","4252","1753","3388","2090","914","3279","2285","2295","1665","2191","915","1973","1075","2870","3629","892","1793","1639","2052","2497","1760"
"ENSG00000007129.18","16","60","25","95","36","94","58","106","155","153","34","28","49","13","58","69","21","43","110","62","63"
"ENSG00000007168.14","5032","14891","7191","7438","3918","9856","5450","7349","6984","4382","9962","8994","10251","5336","4006","6843","4094","7170","7579","9369","9271"
"ENSG00000007171.18","20","14","61","47","56","30","27","33","30","13","39","77","104","24","19","24","15","43","81","45","20"
"ENSG00000007174.18","7","15","3","155","1","10","85","61","101","5","196","48","75","100","107","46","559","98","73","183","110"
"ENSG00000007202.15","5947","22077","20037","5643","10823","14665","6233","13125","23494","10738","9314","8624","10312","9385","5709","4986","4601","8677","7663","12347","7726"
"ENSG00000007216.15","173","31","8","539","14","1933","2878","107","158","345","1010","3843","3138","376","0","1039","3","504","1478","942","206"
"ENSG00000007237.19","1780","3753","2485","2496","1254","2595","3369","9873","2307","3970","6212","1698","4160","2214","1754","6663","2334","2897","3537","7954","11515"
"ENSG00000007255.10","3689","1374","1376","1441","934","2494","1412","1007","1244","1129","607","1813","1142","1590","929","687","570","679","978","789","543"
"ENSG00000007264.15","28","159","67","436","60","113","267","217","167","2075","115","592","176","201","61","63","32","146","234","127","151"
"ENSG00000007306.15","148","1","3","93","10","12","71","10","22","17","3","11","32","10","0","5","0","3","18","6","3"
"ENSG00000007312.13","37","358","20","88","65","582","136","120","58","472","134","278","141","110","352","110","126","89","284","125","123"
"ENSG00000007314.12","51","125","143","199","120","75","268","217","104","42","306","414","538","329","1508","273","1943","1490","256","952","1246"
"ENSG00000007341.19","1150","1018","1125","679","884","967","698","521","740","416","775","1112","650","731","300","549","369","483","856","459","647"
"ENSG00000007350.17","0","16","0","2","4","8","7","2","2","8","0","5","11","3","4","11","11","3","21","37","19"
"ENSG00000007372.24","2","4","37","1","0","8","26","4","224","0","0","7","8","1","0","2","1","2","2","3","1"
"ENSG00000007376.8","1917","2888","1549","1095","745","1668","1283","2085","3279","1176","479","1043","837","1036","617","531","339","488","947","1021","432"
"ENSG00000007384.15","6805","5400","3250","3232","1738","4706","2098","3678","7943","2257","2102","2522","2363","1503","866","1599","700","1229","2311","1950","1324"
"ENSG00000007392.17","4898","3511","2443","1866","1326","3633","1064","2235","4633","1918","1616","1707","1722","1621","914","979","1070","1117","2079","1755","1161"
"ENSG00000007402.12","788","540","880","1814","350","542","1062","770","624","108","636","730","708","1311","68","183","57","273","624","342","182"
"ENSG00000007516.14","214","1818","246","1351","52","693","475","881","1868","236","627","1038","1015","370","180","252","227","361","568","490","309"
"ENSG00000007520.4","2484","2178","2578","1581","734","2293","1676","1539","2528","1394","767","1592","1090","1514","1933","716","1203","860","1268","1399","1036"
"ENSG00000007541.17","7836","4619","2585","3773","1469","5913","2426","4258","5972","2299","1540","2084","1801","2108","1482","1016","870","1079","2197","1738","1013"
"ENSG00000007545.16","1509","3306","1022","890","861","2281","848","2505","3180","588","1005","1095","1252","1036","484","730","630","845","1067","1097","624"
"ENSG00000007866.22","1625","2620","2109","2356","862","3519","1475","2123","3242","2163","2632","3421","2530","2506","711","1544","459","2011","3582","3435","1628"
"ENSG00000007908.16","319","5061","121","290","327","248","1344","475","176","1444","143","135","251","89","2336","8463","164","214","2926","180","7833"
"ENSG00000007923.16","1512","2246","1941","1989","1833","2194","1770","2130","2008","1254","1467","1876","1730","1452","923","1044","1057","1357","1578","1796","1349"
"ENSG00000007933.13","41","171","175","41","56","127","204","279","36","344","168","107","159","109","407","152","320","167","235","412","447"
"ENSG00000007944.15","1108","4135","16510","2543","3375","5515","1842","2641","3242","2305","3415","4786","3159","2667","2418","3131","1791","2606","2977","2528","2351"
"ENSG00000007952.18","258","44","91","67","20","97","23","23","18","85","23","38","36","25","29","22","10","19","37","28","25"
"ENSG00000007968.7","278","301","466","321","216","533","179","464","597","183","124","245","90","73","10","78","6","64","94","125","43"
"ENSG00000008018.9","7774","8675","5509","4158","4116","9528","6190","5071","4870","4790","5170","8613","6135","10198","7967","5983","5449","4516","5608","6799","6725"
"ENSG00000008056.14","62","53","28","292","12","85","52","45","62","40","63","12","22","11","17","17","37","10","31","26","11"
"ENSG00000008083.14","1580","4469","11159","2680","4280","3102","1391","2251","2514","1795","2014","2075","2362","1622","537","1006","626","1204","1833","1699","1007"
"ENSG00000008086.13","501","1609","1261","624","602","1255","2250","2802","579","797","2168","1676","1761","1185","365","878","599","955","1610","1367","1128"
"ENSG00000008118.10","99","17","17","15","30","10","11","16","14","14","34","4","3","6","1","11","3","5","15","10","4"
"ENSG00000008128.23","88","46","30","74","27","58","63","46","49","77","14","25","37","25","31","32","26","18","46","42","44"
"ENSG00000008130.15","3250","4092","3380","4656","3737","4384","3492","3998","3892","4657","2554","3760","2569","2679","4566","2574","4096","3760","3258","5465","4458"
"ENSG00000008196.13","5760","1627","4959","3","2192","13045","16340","6900","11256","2432","3684","3115","2324","9259","0","938","24","1071","2174","2353","469"
"ENSG00000008197.5","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000008226.20","319","205","32","29","111","142","106","34","39","48","128","153","132","52","70","48","32","157","108","150","124"
