"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000181856.15","ENSG00000140505.7","ENSG00000240498.9","ENSG00000170890.14","ENSG00000180251.5"
"ENSG00000109846.9","ENSG00000228842.3","ENSG00000114771.14","ENSG00000249448.1","ENSG00000103316.12"
"ENSG00000180914.10","ENSG00000235357.2","ENSG00000133800.9","ENSG00000140287.11","ENSG00000205364.4"
"ENSG00000267603.1","ENSG00000099937.11","ENSG00000166573.6","ENSG00000260412.1","ENSG00000100604.13"
"ENSG00000039537.14","ENSG00000284779.2","ENSG00000104267.10","ENSG00000186732.14","ENSG00000178796.13"
"ENSG00000257743.8","ENSG00000196600.12","ENSG00000100604.13","ENSG00000259275.4","ENSG00000237515.9"
"ENSG00000160307.10","ENSG00000142182.9","ENSG00000167281.19","ENSG00000160097.20","ENSG00000112530.11"
"ENSG00000232079.7","ENSG00000249956.4","ENSG00000144339.12","ENSG00000173452.14","ENSG00000186952.15"
"ENSG00000130173.13","ENSG00000188676.13","ENSG00000162706.13","ENSG00000225005.1","ENSG00000267709.1"
"ENSG00000175084.12","ENSG00000118520.15","ENSG00000147588.7","ENSG00000183549.10","ENSG00000157150.5"
"ENSG00000211445.12","ENSG00000218819.6","ENSG00000254645.2","ENSG00000027644.5","ENSG00000179593.16"
"ENSG00000130226.17","ENSG00000172425.12","ENSG00000064205.10","ENSG00000136457.10","ENSG00000184905.9"
"ENSG00000022267.19","ENSG00000240935.6","ENSG00000112232.10","ENSG00000170011.14","ENSG00000174502.19"
"ENSG00000004776.13","ENSG00000172482.5","ENSG00000155816.20","ENSG00000138615.6","ENSG00000149305.7"
"ENSG00000114547.10","ENSG00000110245.12","ENSG00000256843.1","ENSG00000273771.1","ENSG00000160808.11"
"ENSG00000100604.13","ENSG00000143278.5","ENSG00000147724.12","ENSG00000267385.1","ENSG00000176387.7"
"ENSG00000270885.2","ENSG00000100012.12","ENSG00000163295.5","ENSG00000101489.20","ENSG00000287331.1"
"ENSG00000116745.7","ENSG00000266964.6","ENSG00000114200.10","ENSG00000013293.6","ENSG00000177459.11"
"ENSG00000138039.15","ENSG00000279218.1","ENSG00000187783.12","ENSG00000101098.13","ENSG00000158486.13"
"ENSG00000226622.6","ENSG00000104938.18","ENSG00000167654.18","ENSG00000247809.9","ENSG00000135480.16"
"ENSG00000171819.5","ENSG00000079557.5","ENSG00000225731.1","ENSG00000122012.14","ENSG00000140057.9"
"ENSG00000072657.9","ENSG00000187758.8","ENSG00000262543.2","ENSG00000251544.1","ENSG00000197177.15"
"ENSG00000180440.4","ENSG00000286081.1","ENSG00000116194.13","ENSG00000006071.15","ENSG00000183196.10"
"ENSG00000215483.11","ENSG00000256811.1","ENSG00000122852.15","ENSG00000270230.1","ENSG00000124678.20"
"ENSG00000188257.12","ENSG00000111700.13","ENSG00000168447.11","ENSG00000253317.1","ENSG00000268628.2"
"ENSG00000271826.5","ENSG00000167014.11","ENSG00000164326.5","ENSG00000163884.4","ENSG00000214456.8"
"ENSG00000091138.13","ENSG00000232650.6","ENSG00000271952.2","ENSG00000066032.18","ENSG00000100218.12"
"ENSG00000101938.15","ENSG00000229740.3","ENSG00000245870.4","ENSG00000161649.13","ENSG00000203952.9"
"ENSG00000179796.12","ENSG00000248676.1","ENSG00000173237.4","ENSG00000180712.4","ENSG00000198643.7"
"ENSG00000156076.10","ENSG00000158104.11","ENSG00000206579.9","ENSG00000180287.17","ENSG00000185942.13"
"ENSG00000261054.1","ENSG00000156006.5","ENSG00000119121.22","ENSG00000211669.3","ENSG00000136457.10"
"ENSG00000226005.5","ENSG00000166183.16","ENSG00000164756.12","ENSG00000277135.1","ENSG00000019102.12"
"ENSG00000135447.17","ENSG00000055957.11","ENSG00000260230.5","ENSG00000004799.8","ENSG00000134824.14"
"ENSG00000187957.8","ENSG00000227712.2","ENSG00000108018.15","ENSG00000227392.2","ENSG00000119147.10"
"ENSG00000280302.1","ENSG00000203972.10","ENSG00000256193.6","ENSG00000232177.1","ENSG00000268555.2"
"ENSG00000168497.5","ENSG00000215124.2","ENSG00000165072.10","ENSG00000120907.18","ENSG00000225969.2"
"ENSG00000131095.13","ENSG00000145192.13","ENSG00000279835.1","ENSG00000170743.17","ENSG00000215559.8"
"ENSG00000197766.8","ENSG00000286789.1","ENSG00000155850.8","ENSG00000167654.18","ENSG00000094755.17"
"ENSG00000236751.2","ENSG00000151892.15","ENSG00000165478.7","ENSG00000148288.13","ENSG00000203697.12"
"ENSG00000004799.8","ENSG00000128313.2","ENSG00000213996.13","ENSG00000270906.1","ENSG00000143520.6"
"ENSG00000267069.1","ENSG00000270385.1","ENSG00000173930.9","ENSG00000214491.8","ENSG00000114771.14"
"ENSG00000277270.2","ENSG00000101323.5","ENSG00000214381.6","ENSG00000134571.11","ENSG00000164879.7"
"ENSG00000287313.1","ENSG00000224570.1","ENSG00000135220.11","ENSG00000173826.15","ENSG00000001626.16"
"ENSG00000255216.2","ENSG00000146166.17","ENSG00000018625.15","ENSG00000130643.9","ENSG00000171811.14"
"ENSG00000124003.13","ENSG00000257878.1","ENSG00000268555.2","ENSG00000115361.8","ENSG00000099960.13"
"ENSG00000254211.6","ENSG00000231487.1","ENSG00000169760.17","ENSG00000236882.8","ENSG00000277639.2"
"ENSG00000119927.14","ENSG00000253199.2","ENSG00000106278.12","ENSG00000163792.6","ENSG00000171533.11"
"ENSG00000224318.6","ENSG00000243384.1","ENSG00000250961.2","ENSG00000187783.12","ENSG00000109906.14"
"ENSG00000158445.10","ENSG00000217228.1","ENSG00000186198.4","ENSG00000211655.3","ENSG00000092054.13"
"ENSG00000153822.14","ENSG00000230333.6","ENSG00000248174.6","ENSG00000144331.20","ENSG00000172915.18"
"ENSG00000187134.14","ENSG00000123454.12","ENSG00000249690.1","ENSG00000175161.14","ENSG00000167183.3"
"ENSG00000104332.12","ENSG00000223922.1","ENSG00000111404.7","ENSG00000077943.8","ENSG00000120885.22"
"ENSG00000135424.18","ENSG00000228980.4","ENSG00000169933.16","ENSG00000189398.5","ENSG00000163071.11"
"ENSG00000265554.2","ENSG00000232451.2","ENSG00000108231.14","ENSG00000168702.18","ENSG00000233834.6"
